Contrato,Anexo,Número de documento,Fecha Depósito,Fecha Aplicación,Monto de Seguro Asociado,Monto de Seguro Distribuidor,Tipo de Movimiento,Cuenta,paymentId
177012,N,138910,2024-05-17,2024-05-17,-207.98,0.0,1,BANCOMER,276339
186655,N,120985,2024-05-21,2024-05-21,-29.0,0.0,1,PAYCASH,277067
179699,N,123421,2024-05-23,2024-05-23,-152.0,0.0,1,PAYCASH,277407
177012,N,138910,2024-05-24,2024-05-24,0.0,0.0,1,BANCOMER,277550
186454,N,175027,2024-05-28,2024-05-29,-108.0,0.0,1,OXXO,278333
179192,N,137172,2024-05-29,2024-05-30,-147.0,0.0,1,PAYCASH,278555
187318,N,145771,2024-05-29,2024-05-29,-219.0,0.0,1,PAYCASH,278367
180777,N,110573,2024-05-29,2024-05-29,-291.0,0.0,1,PAYCASH,278455
185035,N,185074,2024-05-29,2024-05-30,-180.0,0.0,1,OXXO,278631
178965,N,143361,2024-05-29,2024-05-30,-202.36,0.0,1,OXXO,278654
184066,N,143200,2024-05-29,2024-05-30,-291.99,0.0,1,OXXO,278664
184066,N,143200,2024-05-29,2024-05-30,0.0,0.0,1,OXXO,278665
181272,N,131094,2024-05-29,2024-05-30,-159.0,0.0,1,OXXO,278682
180324,N,153704,2024-05-29,2024-05-30,-206.98,0.0,1,OXXO,278660
179931,N,169619,2024-05-29,2024-05-30,-144.96,0.0,1,OXXO,278662
183501,N,151561,2024-05-30,2024-05-31,-182.0,0.0,1,PAYCASH,278852
178381,N,122047,2024-05-30,2024-05-31,-148.0,0.0,1,BANCOMER,278877
186498,N,106146,2024-05-30,2024-05-31,-289.99,0.0,1,BANCOMER,278898
183946,N,139963,2024-05-30,2024-05-31,-181.0,0.0,1,BANCOMER,278863
186549,N,134308,2024-05-30,2024-05-31,-181.0,0.0,1,BANCOMER,278879
182302,N,151440,2024-05-30,2024-05-31,-182.0,0.0,1,PAYCASH,278851
182058,N,100576,2024-05-30,2024-05-30,-183.0,0.0,1,PAYCASH,278834
186194,N,122645,2024-05-31,2024-05-31,-182.0,0.0,1,PAYCASH,278936
183558,N,156876,2024-05-31,2024-05-31,-180.0,0.0,1,BANCOMER,279087
181444,N,100108,2024-06-02,2024-06-03,-182.0,0.0,1,PAYCASH,279590
177685,N,108970,2024-06-03,2024-06-03,-210.0,0.0,1,BANCOMER,279620
180242,N,150484,2024-06-03,2024-06-04,-213.0,0.0,1,OXXO,279859
182478,N,182488,2024-06-05,2024-06-06,-181.0,0.0,1,BANCOMER,280160
179192,N,137172,2024-06-05,2024-06-06,0.0,0.0,1,PAYCASH,280153
186093,N,179976,2024-06-05,2024-06-06,-173.0,0.0,1,BANCOMER,280176
186093,N,179976,2024-06-05,2024-06-06,-7.0,0.0,1,BANCOMER,280177
180242,N,150484,2024-06-05,2024-06-06,0.0,0.0,1,OXXO,280237
180777,N,110573,2024-06-05,2024-06-06,0.0,0.0,1,OXXO,280194
183906,N,129711,2024-06-05,2024-06-06,-72.0,0.0,1,OXXO,280217
178965,N,143361,2024-06-05,2024-06-06,-1.63,0.0,1,OXXO,280228
187272,N,147872,2024-06-05,2024-06-06,-180.0,0.0,1,OXXO,280233
180324,N,153704,2024-06-05,2024-06-06,0.0,0.0,1,OXXO,280219
187658,N,142107,2024-06-06,2024-06-06,-180.0,0.0,1,BANCOMER,280280
186929,N,190194,2024-06-06,2024-06-06,-442.0,0.0,1,BANCOMER,280275
190481,N,149817,2024-06-06,2024-06-06,-181.0,0.0,1,BANCOMER,280321
177657,N,102775,2024-06-06,2024-06-06,-179.0,0.0,1,PAYCASH,280325
180296,N,150647,2024-06-06,2024-06-06,-160.0,0.0,1,PAYCASH,280327
179192,N,137172,2024-06-06,2024-06-06,-147.0,0.0,1,GARANTIA,280337
178381,N,122047,2024-06-06,2024-06-06,-148.0,0.0,1,GARANTIA,280333
178965,N,143361,2024-06-06,2024-06-06,-204.0,0.0,1,GARANTIA,280334
