APPLICANT_ID,ESCOLARIDAD,SUCURSAL,TIPO_NEGOCIO,TIEMPO_OP_NEGOCIO,COMPRAS,INGRESO_MENSUAL_NEGOCIO,VENTAS,NOMBREOTORGANTE,FOLIO,IMPORTECREDITO,FECHACONSULTA,SCORE_FICO
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,MICROFINANCIERA,1186220193,1000,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,MICROFINANCIERA,1186220193,5200,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,MICROFINANCIERA,1186220193,2080,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,1186220193,2500,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,1186220193,2000,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,VOLANA,1186220213,1000,2023-07-04,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,COMPANIA DE PRESTAMO PERSONAL,1186220213,1000,2023-06-21,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,MICROFINANCIERA,1186220213,1000,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,MICROFINANCIERA,1186220213,5200,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,MICROFINANCIERA,1186220213,2080,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,1186220213,2500,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,1186220213,2000,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,VOLANA,1186220254,1000,2023-07-04,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,COMPANIA DE PRESTAMO PERSONAL,1186220254,1000,2023-06-21,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,MICROFINANCIERA,1186220254,1000,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,MICROFINANCIERA,1186220254,5200,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,MICROFINANCIERA,1186220254,2080,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,1186220254,2500,2023-06-01,522
157194,TECNICO,GRUPO_4,ESTETICA,124,1500.0,18000.0,4500,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,1186220254,2000,2023-06-01,522
157198,BACHILLERATO,GRUPO_4,VENTA_DE_ALIMENTOS,37,1300.0,7200.0,4000,VOLANA,1186179934,1000,2023-07-04,499
157201,BACHILLERATO,GRUPO_4,VENTA_DE_ALIMENTOS,121,1200.0,10800.0,5000,VOLANA,1186243964,1000,2023-07-04,375
157204,SECUNDARIA,GRUPO_4,ESTETICA,124,1200.0,14000.0,3500,VOLANA,1186189746,1000,2023-07-04,582
