Contrato,Anexo,Número de documento,Fecha Depósito,Fecha Aplicación,Monto de Seguro Asociado,Monto de Seguro Distribuidor,Tipo de Movimiento,Cuenta,paymentId
170789,N,130217,2024-03-15,2024-03-15,-117.0,0.0,1,PAYCASH,265017
170789,N,130217,2024-03-19,2024-03-20,0.0,0.0,1,OXXO,265758
173911,N,122909,2024-03-28,2024-03-29,-295.98,0.0,1,OXXO,267291
170789,N,130217,2024-03-28,2024-03-29,0.0,0.0,1,OXXO,267324
115206,N,115206,2024-03-28,2024-03-28,-355.0,-30.0,1,BANCOMER,267168
173992,N,170443,2024-03-28,2024-03-29,-174.0,0.0,1,OXXO,267302
21204,N,21204,2024-03-29,2024-03-30,-420.0,-35.0,1,OXXO,267498
174492,N,116809,2024-03-31,2024-04-01,-58.0,0.0,1,BANCOMER,267687
178631,N,126189,2024-04-01,2024-04-02,-145.0,0.0,1,OXXO,268059
180150,N,150698,2024-04-01,2024-04-02,-216.0,0.0,1,OXXO,268025
177084,N,176848,2024-04-01,2024-04-02,-136.08,0.0,1,OXXO,268023
178704,N,150428,2024-04-01,2024-04-02,-206.0,0.0,1,OXXO,268041
176514,N,128184,2024-04-01,2024-04-02,-146.0,0.0,1,OXXO,268026
178046,N,178248,2024-04-01,2024-04-02,-145.0,0.0,1,OXXO,268030
179302,N,150184,2024-04-01,2024-04-01,-118.0,0.0,1,PAYCASH,267908
8632,N,8632,2024-04-01,2024-04-02,-1335.98,-45.0,1,OXXO,268008
176012,N,156616,2024-04-01,2024-04-02,-148.0,0.0,1,BANCOMER,267959
174670,N,123311,2024-04-02,2024-04-02,-205.0,0.0,1,BANCOMER,267955
179423,N,169574,2024-04-02,2024-04-02,-145.0,0.0,1,PAYCASH,268083
176829,N,116017,2024-04-02,2024-04-02,-177.0,0.0,1,PAYCASH,268087
178686,N,148070,2024-04-02,2024-04-02,-145.0,0.0,1,BANCOMER,268096
175497,N,146004,2024-04-02,2024-04-03,-208.98,0.0,1,OXXO,268239
180164,N,125140,2024-04-02,2024-04-02,-181.0,0.0,1,PAYCASH,268123
174685,N,100481,2024-04-02,2024-04-02,-149.0,0.0,1,PAYCASH,268133
176616,N,147495,2024-04-02,2024-04-02,-211.99,0.0,1,PAYCASH,268169
179931,N,107117,2024-04-03,2024-04-04,-145.0,0.0,1,OXXO,268387
173911,N,122909,2024-04-04,2024-04-05,0.0,0.0,1,OXXO,268599
173911,N,122909,2024-04-04,2024-04-05,-295.98,0.0,1,OXXO,268600
74349,N,74349,2024-04-04,2024-04-04,-40.0,0.0,1,PAYCASH,268449
181159,N,101450,2024-04-05,2024-04-05,0.0,0.0,1,BONIFICACION,268698
182522,N,110949,2024-04-05,2024-04-05,0.0,0.0,1,BONIFICACION,268705
180705,N,123054,2024-04-05,2024-04-05,0.0,0.0,1,BONIFICACION,268699
182256,N,129850,2024-04-05,2024-04-05,0.0,0.0,1,BONIFICACION,268694
181533,N,102794,2024-04-05,2024-04-05,0.0,0.0,1,BONIFICACION,268727
181444,N,100096,2024-04-05,2024-04-05,0.0,0.0,1,BONIFICACION,268709
180268,N,120833,2024-04-05,2024-04-05,0.0,0.0,1,BONIFICACION,268696
182646,N,142945,2024-04-05,2024-04-05,0.0,0.0,1,BONIFICACION,268714
182228,N,134085,2024-04-05,2024-04-05,0.0,0.0,1,BONIFICACION,268704
174010,N,130055,2024-04-05,2024-04-06,-58.0,0.0,1,OXXO,268782
173992,N,170443,2024-04-05,2024-04-06,0.0,0.0,1,OXXO,268773
182646,N,142945,2024-04-06,2024-04-08,-57.24,0.0,1,BANCOMER,268891
175589,N,156403,2024-04-08,2024-04-09,-145.0,0.0,1,BANCOMER,268984
174492,N,116809,2024-04-08,2024-04-09,0.0,0.0,1,BANCOMER,268991
