,id_distribuidor_linea_de_credito,monto_autorizado,tasa_minima,grupo_riesgo,riesgo,tasa_ponderada,perdida_ponderada,id_distribuidor,importe_depositado,marginal,perdida_cosecha_canasta
2990,168721,10000,147,Canasta 9,9,80.00000000000001,0.0,169860,53537.0,1070.2876923076924,7.900051906317038
2991,168419,0,0,Canasta 10,10,147.0,0.0,168804,43242.0,7748.746153846157,11.22693992153604
2992,168554,10000,90,Canasta 1,1,142.0,0.0,168685,147776.48,18148.61076923077,0.5981846460466533
2993,168590,10000,110,Canasta 4,4,142.0,0.0,168737,57075.0,10345.983076923076,3.1160502391921283
2994,168684,0,0,Canasta 10,10,142.0,0.0,170570,47525.0,2952.889743589743,11.22693992153604
2995,168691,0,0,Canasta 10,10,166.1159248122438,0.0,170570,47525.0,2952.889743589743,11.22693992153604
2996,169239,10000,132,Canasta 8,8,181.48011933576643,0.0,170570,47525.0,2952.889743589743,5.828371587611391
2997,168708,10000,110,Canasta 5,5,142.0,0.0,169292,82671.02,4870.073846153857,3.374105053076616
2998,168802,10000,115,Canasta 6,6,172.00294517692308,0.0,168927,76116.0,14579.29076923077,3.977055692691484
2999,168803,10000,100,Canasta 2,2,142.0,0.0,169117,127096.04,15119.520000000004,1.8298129407071972
3000,168811,10000,115,Canasta 6,6,140.1818115702239,0.0,168947,84544.92,14876.092307692306,3.977055692691484
3001,168852,10000,147,Canasta 9,9,142.0,0.1367163008675365,169013,51170.77,4042.9007692307714,7.900051906317038
3002,168893,10000,110,Canasta 5,5,105.0,0.0,171344,45088.0,1284.3338461538456,3.374105053076616
3003,168902,10000,110,Canasta 4,4,100.0,0.0,171344,45088.0,1284.3338461538456,3.1160502391921283
3004,168910,10000,100,Canasta 2,2,151.04243810985145,0.0,171344,45088.0,1284.3338461538456,1.8298129407071972
3005,169971,10000,110,Canasta 4,4,100.0,0.0,171344,45088.0,1284.3338461538456,3.1160502391921283
3006,170591,10000,110,Canasta 5,5,100.0,0.0,171344,45088.0,1284.3338461538456,3.374105053076616
3007,168923,10000,110,Canasta 3,3,136.21052631578948,0.0,169475,43888.0,8394.746153846158,3.3220596517330434
3008,168963,10000,110,Canasta 4,4,142.0,0.0,171098,47424.0,4378.834615384614,3.1160502391921283
3009,169946,10000,127,Canasta 7,7,142.0,0.0,171098,47424.0,4378.834615384614,5.243910975948551
