Contrato,Anexo,Número de documento,Fecha Depósito,Fecha Aplicación,Monto de Seguro Asociado,Monto de Seguro Distribuidor,Tipo de Movimiento,Cuenta,paymentId
170778,N,170491,2024-04-16,2024-04-17,-172.13,0.0,1,OXXO,270740
170778,N,170491,2024-04-19,2024-04-19,0.0,0.0,1,PAYCASH,271205
170778,N,170491,2024-04-29,2024-04-30,0.0,0.0,1,OXXO,272848
178631,N,126185,2024-04-29,2024-04-30,-145.0,0.0,1,OXXO,272879
176160,N,153516,2024-04-30,2024-04-30,-115.99,0.0,1,BANCOMER,273072
179372,N,148521,2024-05-02,2024-05-02,-149.0,0.0,1,PAYCASH,273698
181728,N,151678,2024-05-03,2024-05-03,-269.98,0.0,1,PAYCASH,273877
176160,N,153516,2024-05-04,2024-05-06,0.0,0.0,1,OXXO,274075
176160,N,153516,2024-05-07,2024-05-08,0.0,0.0,1,OXXO,274498
175938,N,175655,2024-05-07,2024-05-08,-116.0,0.0,1,OXXO,274449
184063,N,119778,2024-05-08,2024-05-08,-72.0,0.0,1,BANCOMER,274552
185035,N,185079,2024-05-08,2024-05-08,-180.0,0.0,1,PAYCASH,274535
178854,N,126698,2024-05-08,2024-05-08,-145.0,0.0,1,BANCOMER,274584
181272,N,179324,2024-05-08,2024-05-09,-159.0,0.0,1,OXXO,274654
184480,N,117921,2024-05-08,2024-05-08,-71.99,0.0,1,PAYCASH,274565
178965,N,143361,2024-05-08,2024-05-09,-202.36,0.0,1,OXXO,274641
181444,N,181500,2024-05-08,2024-05-08,-182.0,0.0,1,PAYCASH,274567
182710,N,134611,2024-05-08,2024-05-08,-221.0,0.0,1,PAYCASH,274586
182710,N,134611,2024-05-08,2024-05-08,0.0,0.0,1,PAYCASH,274588
179931,N,107117,2024-05-08,2024-05-09,-145.0,0.0,1,OXXO,274624
181329,N,154281,2024-05-08,2024-05-08,-180.0,0.0,1,PAYCASH,274590
180324,N,153704,2024-05-08,2024-05-09,-206.98,0.0,1,OXXO,274638
176616,N,147495,2024-05-08,2024-05-08,-211.96,0.0,1,PAYCASH,274603
182058,N,171409,2024-05-08,2024-05-09,-182.99,0.0,1,OXXO,274647
177525,N,105401,2024-05-08,2024-05-09,-145.0,0.0,1,OXXO,274620
179372,N,148521,2024-05-09,2024-05-10,0.0,0.0,1,PAYCASH,274764
177572,N,131141,2024-05-09,2024-05-10,-177.0,0.0,1,PAYCASH,274766
186549,N,134308,2024-05-09,2024-05-10,-181.0,0.0,1,BANCOMER,274772
178381,N,111835,2024-05-09,2024-05-10,-148.0,0.0,1,BANCOMER,274768
179851,N,151973,2024-05-09,2024-05-10,-145.0,0.0,1,BANCOMER,274779
175938,N,175655,2024-05-09,2024-05-09,0.0,0.0,1,BANCOMER,274700
183851,N,144876,2024-05-09,2024-05-09,-222.0,0.0,1,BANCOMER,274695
177341,N,101711,2024-05-09,2024-05-09,-176.99,0.0,1,PAYCASH,274663
177454,N,122903,2024-05-09,2024-05-09,-357.0,0.0,1,BANCOMER,274692
180242,N,150484,2024-05-09,2024-05-10,-212.98,0.0,1,OXXO,274837
186498,N,115252,2024-05-09,2024-05-09,-290.0,0.0,1,BANCOMER,274685
183946,N,139963,2024-05-09,2024-05-09,-181.0,0.0,1,PAYCASH,274667
180131,N,170620,2024-05-09,2024-05-09,-145.0,0.0,1,BANCOMER,274675
186126,N,143674,2024-05-09,2024-05-10,-102.0,0.0,1,OXXO,274834
179894,N,170973,2024-05-09,2024-05-09,-173.0,0.0,1,BANCOMER,274731
183501,N,151561,2024-05-09,2024-05-09,-182.0,0.0,1,PAYCASH,274718
182302,N,151442,2024-05-09,2024-05-09,-182.0,0.0,1,PAYCASH,274742
186172,N,135039,2024-05-10,2024-05-13,-182.0,0.0,1,BANCOMER,275069
183697,N,159946,2024-05-10,2024-05-13,-252.0,0.0,1,BANCOMER,275053
179475,N,169333,2024-05-10,2024-05-13,0.0,0.0,1,BANCOMER,275048
181728,N,151678,2024-05-10,2024-05-13,0.0,0.0,1,BANCOMER,275065
179475,N,169333,2024-05-10,2024-05-13,0.0,0.0,1,BANCOMER,275066
177157,N,118373,2024-05-10,2024-05-11,-174.0,0.0,1,PAYCASH,274922
181728,N,151678,2024-05-10,2024-05-13,0.0,0.0,1,BANCOMER,275046
181728,N,151678,2024-05-10,2024-05-13,0.0,0.0,1,BANCOMER,275063
184103,N,142542,2024-05-10,2024-05-10,-1.98,0.0,1,BANCOMER,274875
177012,N,138910,2024-05-10,2024-05-10,0.0,0.0,1,PAYCASH,274757
177423,N,177489,2024-05-10,2024-05-10,-145.0,0.0,1,PAYCASH,274790
183669,N,133691,2024-05-10,2024-05-10,-291.99,0.0,1,BANCOMER,274863
184622,N,150118,2024-05-10,2024-05-10,-108.0,0.0,1,PAYCASH,274848
179475,N,169333,2024-05-10,2024-05-10,-273.99,0.0,1,PAYCASH,274852
182112,N,171060,2024-05-10,2024-05-11,-174.0,0.0,1,OXXO,274937
184030,N,154436,2024-05-10,2024-05-10,-289.99,0.0,1,PAYCASH,274880
180488,N,108501,2024-05-10,2024-05-11,-147.99,0.0,1,OXXO,274960
179699,N,180067,2024-05-10,2024-05-10,-152.0,0.0,1,PAYCASH,274885
179746,N,130990,2024-05-10,2024-05-10,-160.0,0.0,1,PAYCASH,274886
177151,N,123021,2024-05-10,2024-05-10,-145.98,0.0,1,BANCOMER,274905
177341,N,101711,2024-05-10,2024-05-11,0.0,0.0,1,OXXO,274955
183649,N,130165,2024-05-10,2024-05-11,-37.0,0.0,1,OXXO,274940
183318,N,183200,2024-05-10,2024-05-11,-184.0,0.0,1,OXXO,274934
185330,N,184099,2024-05-10,2024-05-10,-180.0,0.0,1,PAYCASH,274906
181728,N,151678,2024-05-10,2024-05-11,0.0,0.0,1,OXXO,274981
182539,N,182372,2024-05-10,2024-05-11,-366.95,0.0,1,OXXO,274979
182428,N,130767,2024-05-10,2024-05-10,-182.0,0.0,1,PAYCASH,274912
184243,N,116809,2024-05-10,2024-05-10,-144.0,0.0,1,PAYCASH,274919
185806,N,99908,2024-05-10,2024-05-11,-290.99,0.0,1,OXXO,274939
182827,N,119521,2024-05-10,2024-05-11,-254.0,0.0,1,OXXO,274958
177269,N,126736,2024-05-10,2024-05-11,-173.98,0.0,1,OXXO,274977
181026,N,130993,2024-05-11,2024-05-13,0.0,0.0,1,BANCOMER,275161
184874,N,153051,2024-05-11,2024-05-13,-180.0,0.0,1,OXXO,275092
185930,N,114670,2024-05-11,2024-05-13,-183.0,0.0,1,BANCOMER,275158
170778,N,170491,2024-05-11,2024-05-11,0.0,0.0,1,PAYCASH,275006
181102,N,161889,2024-05-11,2024-05-13,-261.0,0.0,1,BANCOMER,275135
180488,N,108501,2024-05-11,2024-05-13,0.0,0.0,1,BANCOMER,275131
177508,N,113807,2024-05-12,2024-05-13,-148.97,0.0,1,OXXO,275107
180488,N,108501,2024-05-12,2024-05-13,0.0,0.0,1,OXXO,275105
177012,N,138910,2024-05-13,2024-05-13,0.0,0.0,1,PAYCASH,275043
176160,N,153516,2024-05-13,2024-05-14,0.0,0.0,1,OXXO,275376
176160,N,153516,2024-05-13,2024-05-14,0.0,0.0,1,OXXO,275352
184193,N,124100,2024-05-13,2024-05-13,-180.0,0.0,1,PAYCASH,275183
177841,N,150323,2024-05-13,2024-05-13,-117.0,0.0,1,PAYCASH,275186
177685,N,108439,2024-05-13,2024-05-13,-210.0,0.0,1,BANCOMER,275190
176899,N,159024,2024-05-13,2024-05-13,-206.0,0.0,1,PAYCASH,275211
180694,N,126103,2024-05-13,2024-05-13,-174.0,0.0,1,PAYCASH,275223
182256,N,129850,2024-05-13,2024-05-13,-108.0,0.0,1,PAYCASH,275242
175938,N,175655,2024-05-14,2024-05-15,0.0,0.0,1,BANCOMER,275667
184048,N,142763,2024-05-14,2024-05-14,-101.66,0.0,1,BANCOMER,275493
175938,N,175655,2024-05-14,2024-05-15,-43.0,0.0,1,OXXO,275732
176616,N,147495,2024-05-14,2024-05-14,0.0,0.0,1,PAYCASH,275537
180242,N,150484,2024-05-14,2024-05-16,0.0,0.0,1,OXXO,276103
176616,N,147495,2024-05-14,2024-05-14,0.0,0.0,1,PAYCASH,275589
176616,N,147495,2024-05-14,2024-05-14,0.0,0.0,1,PAYCASH,275598
184410,N,118439,2024-05-14,2024-05-15,-218.0,0.0,1,OXXO,275730
176616,N,147495,2024-05-14,2024-05-14,0.0,0.0,1,PAYCASH,275605
179372,N,148521,2024-05-15,2024-05-16,-149.0,0.0,1,PAYCASH,275954
180296,N,150647,2024-05-15,2024-05-16,-160.0,0.0,1,PAYCASH,275956
182710,N,134611,2024-05-15,2024-05-16,0.0,0.0,1,PAYCASH,275946
186194,N,122647,2024-05-15,2024-05-16,-182.0,0.0,1,BANCOMER,275966
180282,N,150331,2024-05-15,2024-05-16,-145.0,0.0,1,BANCOMER,275999
177515,N,176947,2024-05-15,2024-05-16,-233.0,0.0,1,OXXO,276077
180324,N,153704,2024-05-15,2024-05-16,0.0,0.0,1,OXXO,276073
184762,N,184795,2024-05-15,2024-05-15,0.0,0.0,1,PAYCASH,275865
183906,N,130055,2024-05-15,2024-05-16,-72.0,0.0,1,OXXO,276047
