Contrato,Anexo,Número de documento,Fecha Depósito,Fecha Aplicación,Monto de Principal,Monto de interés,Monto de IVA,Tipo de Movimiento,Cuenta,paymentId
180742,N,163049,2024-04-23,2024-04-24,-1734.06,-628.4,-100.54,PAG,OXXO,271754
176616,N,147495,2024-04-23,2024-04-24,-4463.48,-288.41,-46.14,PAG,OXXO,271714
182112,N,171064,2024-04-26,2024-04-27,-3139.06,-1287.88,-206.06,PAG,OXXO,272330
178295,N,175869,2024-04-27,2024-04-27,-12.16,-0.88,-0.14,PAG,PAYCASH,272379
182646,N,142329,2024-04-28,2024-04-29,-3597.5,-1238.36,-198.14,PAG,BANCOMER,272531
181477,N,161102,2024-04-29,2024-04-30,-8078.09,-2259.43,-361.51,PAG,PAYCASH,272747
184410,N,107993,2024-04-29,2024-04-29,0.0,-772.91,-123.66,PAG,BONIFICACION,272640
180150,N,179799,2024-04-29,2024-04-30,-2681.22,-737.74,-118.04,PAG,OXXO,272906
182769,N,122987,2024-04-29,2024-04-29,-14751.78,-2526.05,-404.17,PAG,PAYCASH,272585
177841,N,150322,2024-04-29,2024-04-29,-7507.09,-952.51,-152.4,PAG,PAYCASH,272675
177364,N,122785,2024-04-29,2024-04-30,-2516.72,-370.07,-59.21,PAG,OXXO,272885
180268,N,120835,2024-04-29,2024-04-30,-4401.82,-1255.33,-200.85,PAG,OXXO,272874
182256,N,149973,2024-04-29,2024-04-29,-1415.6,-451.21,-72.19,PAG,PAYCASH,272709
8319,N,8319,2024-04-29,2024-04-29,-3833.44,-1603.07,-256.49,PAG,PAYCASH,272717
178046,N,105234,2024-04-29,2024-04-30,-4452.92,-780.24,-124.84,PAG,OXXO,272911
179302,N,150184,2024-04-29,2024-04-29,-6008.77,-1307.96,-209.27,PAG,PAYCASH,272724
184164,N,151837,2024-04-29,2024-04-30,-1821.51,-929.73,-148.76,PAG,OXXO,272873
176012,N,156616,2024-04-29,2024-04-30,-8822.47,-436.66,-69.87,PAG,BANCOMER,272820
178460,N,107917,2024-04-30,2024-05-01,-6843.56,-1076.24,-172.2,PAG,BANCOMER,273212
176616,N,147495,2024-04-30,2024-05-01,-3760.73,-1707.13,-273.14,PAG,PAYCASH,273191
178460,N,107917,2024-04-30,2024-05-01,-1242.77,-32.09,-5.14,PAG,BANCOMER,273215
181533,N,180726,2024-04-30,2024-04-30,-11918.31,-3138.53,-502.16,PAG,PAYCASH,272738
185035,N,185079,2024-04-30,2024-05-01,-2020.38,-1041.05,-166.57,PAG,OXXO,273253
178309,N,101642,2024-04-30,2024-05-01,-5248.09,-1178.4,-188.54,PAG,OXXO,273348
182100,N,132106,2024-04-30,2024-04-30,-9107.01,-2691.37,-430.62,PAG,BANCOMER,272988
179132,N,124922,2024-04-30,2024-05-01,-8262.43,-311.71,-49.87,PAG,OXXO,273343
180705,N,180279,2024-04-30,2024-04-30,-3647.47,-1277.18,-204.35,PAG,BANCOMER,272984
181012,N,120023,2024-04-30,2024-05-01,-3805.76,-740.72,-118.52,PAG,OXXO,273274
179423,N,169574,2024-04-30,2024-04-30,-2908.26,-506.67,-81.07,PAG,PAYCASH,273031
175665,N,154906,2024-04-30,2024-05-01,-6435.0,0.0,0.0,PAG,OXXO,273322
182522,N,110949,2024-04-30,2024-05-01,-4833.91,-1662.15,-265.94,PAG,OXXO,273255
184491,N,100483,2024-04-30,2024-04-30,-8262.67,-1921.84,-307.49,PAG,BANCOMER,273070
180777,N,180101,2024-04-30,2024-04-30,-9350.03,-1846.53,-295.44,PAG,PAYCASH,273045
180164,N,125140,2024-04-30,2024-04-30,-3960.34,-998.84,-159.82,PAG,PAYCASH,273046
176616,N,147495,2024-04-30,2024-05-01,-5772.0,0.0,0.0,PAG,OXXO,273271
181159,N,144082,2024-04-30,2024-04-30,-2759.46,-930.64,-148.9,PAG,PAYCASH,273050
176829,N,116017,2024-04-30,2024-04-30,-8637.54,-726.26,-116.2,PAG,PAYCASH,273051
176616,N,147495,2024-04-30,2024-04-30,-4336.0,0.0,0.0,PAG,PAYCASH,273052
176081,N,144024,2024-04-30,2024-05-01,-6568.46,-634.95,-101.59,PAG,OXXO,273276
183277,N,143575,2024-04-30,2024-04-30,0.0,-1370.69,-219.31,PAG,PAYCASH,273098
176849,N,145993,2024-04-30,2024-04-30,-1033.36,-476.43,-76.23,PAG,BANCOMER,273162
176616,N,147495,2024-04-30,2024-04-30,-1681.0,0.0,0.0,PAG,PAYCASH,273113
182937,N,110507,2024-04-30,2024-05-01,-18.18,-8.62,-1.38,PAG,OXXO,273339
182228,N,134085,2024-04-30,2024-05-01,-1953.42,-1254.82,-200.77,PAG,OXXO,273326
175938,N,175654,2024-04-30,2024-05-01,-840.15,-137.8,-22.05,PAG,OXXO,273257
178686,N,148070,2024-04-30,2024-05-01,-3771.05,-908.58,-145.37,PAG,BANCOMER,273228
180324,N,143048,2024-05-01,2024-05-02,-10224.4,-2241.9,-358.7,PAG,PAYCASH,273411
183016,N,113695,2024-05-01,2024-05-02,-6381.13,-1215.41,-194.46,PAG,PAYCASH,273399
175688,N,155513,2024-05-01,2024-05-02,-3291.47,-184.08,-29.45,PAG,PAYCASH,273414
179192,N,114984,2024-05-01,2024-05-02,-1601.63,-630.49,-100.88,PAG,PAYCASH,273430
182710,N,144333,2024-05-01,2024-05-02,-16221.75,-3066.6,-490.66,PAG,PAYCASH,273439
184480,N,117921,2024-05-01,2024-05-02,-1605.24,-631.7,-101.07,PAG,BANCOMER,273556
179080,N,148007,2024-05-01,2024-05-02,-1451.15,-243.84,-39.01,PAG,OXXO,273469
181272,N,131172,2024-05-01,2024-05-02,-3061.02,-961.19,-153.79,PAG,OXXO,273443
184066,N,184170,2024-05-01,2024-05-02,-1390.99,-1276.75,-204.28,PAG,OXXO,273449
184063,N,119778,2024-05-01,2024-05-02,-1658.53,-653.85,-104.62,PAG,OXXO,273490
44385,N,44385,2024-05-01,2024-05-02,-3747.48,-2132.34,-341.18,PAG,OXXO,273464
177525,N,178402,2024-05-01,2024-05-02,-2576.75,-584.7,-93.55,PAG,OXXO,273471
179931,N,169622,2024-05-01,2024-05-02,-2959.77,-889.85,-142.38,PAG,OXXO,273480
177341,N,177399,2024-05-01,2024-05-02,-7094.22,-516.19,-82.59,PAG,BANCOMER,273516
182302,N,151446,2024-05-02,2024-05-03,-7776.96,-2550.03,-408.01,PAG,PAYCASH,273703
177341,N,177399,2024-05-02,2024-05-02,0.0,-353.45,-56.55,PAG,PAYCASH,273633
178854,N,168869,2024-05-02,2024-05-03,-3141.22,-788.6,-126.18,PAG,OXXO,273775
181329,N,154279,2024-05-02,2024-05-02,-2409.47,-871.15,-139.38,PAG,PAYCASH,273642
178965,N,143381,2024-05-02,2024-05-02,-8487.03,-1443.08,-230.89,PAG,PAYCASH,273644
177454,N,159109,2024-05-02,2024-05-02,-351.01,-15.55,-2.49,PAG,BANCOMER,273587
181444,N,110337,2024-05-02,2024-05-02,-3991.21,-1336.03,-213.76,PAG,PAYCASH,273650
180131,N,170622,2024-05-02,2024-05-03,-2570.97,-68.13,-10.9,PAG,OXXO,273768
180131,N,170622,2024-05-02,2024-05-02,0.0,-586.21,-93.79,PAG,BANCOMER,273618
183851,N,145183,2024-05-02,2024-05-02,-1724.55,-0.39,-0.06,PAG,BANCOMER,273617
179894,N,170972,2024-05-02,2024-05-02,-2084.71,-557.15,-89.14,PAG,BANCOMER,273614
