,id_distribuidor,ID ASOCIADO,CAPITAL AUTORIZADO,TASA AUTORIZADA,RECUPERADO,NO RECUPERADO,CERRADO,P COSECHA,grupo_riesgo_quilum,grupo_riesgo_quash,tasa_sugerida_quilum,tasa_sugerida_quash,perdida_cosecha_esperada_quilum,perdida_cosecha_esperada_quash
1133,161089,163332,15000,127,15000.0,0.0,SI,0.0,10,,0,,17.35,
1134,161091,163333,6000,132,6000.0,0.0,SI,0.0,4,,110,,1.89,
1135,161567,163335,7000,147,7000.0,0.0,SI,0.0,5,,112,,3.19,
1136,161590,163336,6000,132,6000.0,0.0,SI,0.0,3,,100,,1.89,
1137,162638,163356,15000,115,15000.0,0.0,SI,0.0,3,,100,,1.89,
1138,162646,163349,6000,115,6000.0,0.0,SI,0.0,6,,0,,3.19,
1139,162772,163329,8000,142,8000.0,0.0,SI,0.0,9,,0,,15.2,
1140,162774,163328,8000,142,8000.0,0.0,SI,0.0,7,,147,,3.76,
1141,162797,163357,10000,122,10000.0,0.0,SI,0.0,2,,95,,1.63,
1142,162863,163326,8000,142,8000.0,0.0,SI,0.0,9,,0,,15.2,
1143,162886,163327,8000,142,8000.0,0.0,SI,0.0,9,,0,,13.17,
1144,162624,163350,10000,110,10000.0,0.0,SI,0.0,7,,0,,3.76,
1145,162642,163348,7000,110,7000.0,0.0,SI,0.0,9,,0,,15.2,
1146,162647,163351,5000,110,5000.0,0.0,SI,0.0,9,,0,,13.17,
1147,162189,163389,12000,110,12000.0,0.0,SI,0.0,6,,127,,3.76,
1148,162208,163390,20000,117,20000.0,0.0,SI,0.0,7,,142,,3.76,
1149,162508,163394,10000,142,10000.0,0.0,SI,0.0,3,,100,,1.89,
1150,162513,163392,5000,147,5000.0,0.0,SI,0.0,9,,0,,15.2,
1151,162519,163391,8000,110,8000.0,0.0,SI,0.0,3,,100,,1.84,
1152,162534,163395,5000,110,5000.0,0.0,SI,0.0,8,,0,,5.77,
1153,162614,163359,10000,122,10000.0,0.0,SI,0.0,6,,127,,3.76,
1154,162615,163360,20000,105,20000.0,0.0,SI,0.0,2,,122,,1.84,
1155,162618,163361,15000,110,15000.0,0.0,SI,0.0,1,,100,,1.63,
1156,162648,163352,7000,110,7000.0,0.0,SI,0.0,9,,0,,15.2,
1157,162856,163358,12000,115,12000.0,0.0,SI,0.0,2,,100,,1.84,
1158,163099,163384,10000,115,10000.0,0.0,SI,0.0,5,,112,,3.19,
1159,163109,163383,5000,115,5000.0,0.0,SI,0.0,8,,0,,5.77,
1160,163255,163386,6000,122,6000.0,0.0,SI,0.0,8,,0,,5.77,
1161,163261,163385,5000,122,5000.0,0.0,SI,0.0,4,,120,,1.89,
1162,163269,163387,9000,122,9000.0,0.0,SI,0.0,6,,127,,3.76,
1163,162001,163457,6000,142,4016.130884795802,1983.869115204198,SI,33.0644852534033,9,,0,,15.2,
1164,162053,163456,8000,142,5354.841179727737,2645.1588202722637,SI,33.0644852534033,8,,0,,5.77,
1165,162269,163458,6000,142,4016.130884795802,1983.869115204198,SI,33.0644852534033,9,,0,,13.17,
1166,162981,163461,7000,142,4685.486032261768,2314.5139677382317,SI,33.064485253403305,5,,112,,3.19,
1167,163054,163460,8000,142,5354.841179727737,2645.1588202722637,SI,33.0644852534033,6,,127,,3.76,
1168,162645,163514,8000,142,8000.0,0.0,SI,0.0,7,,147,,5.77,
1169,161015,163684,5000,147,5000.0,0.0,SI,0.0,1,,115,,1.63,
1170,161046,163683,5000,147,5000.0,0.0,SI,0.0,8,,0,,5.77,
1171,163422,163776,10000,142,10000.0,0.0,SI,0.0,10,,0,,17.35,
1172,163540,163739,6000,147,6000.0,0.0,SI,0.0,9,,0,,13.17,
1173,163452,163755,5000,147,2834.163276720631,2165.836723279369,SI,43.31673446558738,2,,95,,1.84,
1174,161911,163939,6000,142,6000.0,0.0,SI,0.0,6,,132,,3.76,
1175,163454,163901,8000,142,8000.0,0.0,SI,0.0,10,,0,,17.35,
1176,162601,163985,6000,142,6000.0,0.0,SI,0.0,5,,120,,3.19,
1177,162609,163988,6000,142,6000.0,0.0,SI,0.0,2,,95,,1.84,
1178,162859,163990,6000,142,6000.0,0.0,SI,0.0,4,,120,,1.89,
1179,162923,163991,6000,142,6000.0,0.0,SI,0.0,6,,0,,3.76,
1180,163038,163987,6000,142,6000.0,0.0,SI,0.0,6,,127,,3.76,
1181,163883,163963,5000,147,5000.0,0.0,SI,0.0,8,,0,,7.48,
1182,163468,163992,5000,147,5000.0,0.0,SI,0.0,4,,110,,1.89,
1183,163486,164321,10000,90,10000.0,0.0,SI,0.0,9,,0,,13.17,
1184,163489,164319,10000,85,10000.0,0.0,SI,0.0,10,,0,,17.35,
1185,163725,163996,9000,127,9000.0,0.0,SI,0.0,8,,0,,13.17,
1186,163754,163994,5000,80,5000.0,0.0,SI,0.0,10,,0,,17.35,
1187,163850,163997,8000,75,8000.0,0.0,SI,0.0,3,,100,,1.84,
1188,163488,164320,13000,95,13000.0,0.0,SI,0.0,9,,0,,15.2,
1189,163491,164322,5000,95,5000.0,0.0,SI,0.0,7,,0,,3.76,
1190,163577,164048,5000,137,5000.0,0.0,SI,0.0,6,,127,,3.76,
1191,163592,164046,5000,137,5000.0,0.0,SI,0.0,3,,105,,1.84,
1192,163596,164044,10000,137,10000.0,0.0,SI,0.0,7,,142,,5.77,
1193,163579,164045,5000,137,5000.0,0.0,SI,0.0,2,,95,,1.84,
1194,163588,164049,5000,137,5000.0,0.0,SI,0.0,3,,100,,1.89,
1195,163594,164043,8000,137,8000.0,0.0,SI,0.0,2,,95,,1.84,
1196,163697,164047,5000,137,5000.0,0.0,SI,0.0,4,,110,,1.89,
1197,163853,164051,8000,85,8000.0,0.0,SI,0.0,5,,120,,3.19,
1198,163692,164052,8000,85,8000.0,0.0,SI,0.0,7,,0,,3.76,
1199,163926,164177,10000,142,10000.0,0.0,SI,0.0,1,,0,,1.63,
1200,163133,165144,10000,142,9352.951751382563,647.0482486174367,SI,6.470482486174367,8,,0,,7.48,
1201,163438,165146,10000,142,9352.951751382563,647.0482486174367,SI,6.470482486174367,5,,127,,3.19,
1202,163450,165147,7000,142,6547.066225967795,452.9337740322049,SI,6.470482486174356,9,,0,,15.2,
1203,163903,164434,10000,90,6144.344890772629,3855.6551092273717,SI,38.556551092273715,9,,0,,13.17,
1204,163970,164229,7000,142,3103.1568127869396,3896.8431872130604,SI,55.66918838875801,4,,110,,1.89,
1205,163983,164199,7000,142,3103.1568127869396,3896.8431872130604,SI,55.66918838875801,5,,112,,3.19,
1206,162511,164436,10000,95,6144.344890772629,3855.6551092273717,SI,38.556551092273715,7,,0,,3.76,
1207,163866,164431,10000,90,6144.344890772629,3855.6551092273717,SI,38.556551092273715,7,,147,,5.77,
1208,163870,164433,10000,90,6144.344890772629,3855.6551092273717,SI,38.556551092273715,9,,0,,13.17,
1209,163907,165148,10000,142,9352.951751382563,647.0482486174367,SI,6.470482486174367,8,,0,,7.48,
1210,164118,164236,10000,142,10000.0,0.0,SI,0.0,7,,142,,3.76,
1211,163906,164336,7000,142,7000.0,0.0,SI,0.0,10,,0,,17.35,
