id_distribuidor,monto_autorizado,tasa_minima,probabilidad,grupo_riesgo
157520,10000,147,0.8133989573,Canasta 3
157522,0,0,0.6093473434,Canasta 2
157523,0,0,0.1020699739,Canasta 1
157524,0,0,0.1265780181,Canasta 1
157527,0,0,0.6466423273,Canasta 2
157530,10000,142,0.8918529153,Canasta 4
157534,10000,147,0.7596260905,Canasta 3
157537,0,0,0.1721367985,Canasta 1
157538,0,0,0.2170623988,Canasta 1
157541,0,0,0.5858539343,Canasta 2
157557,0,0,0.2778776884,Canasta 1
157558,0,0,0.3154378533,Canasta 1
157586,0,0,0.2437878102,Canasta 1
157587,0,0,0.5163417459,Canasta 2
157591,9000,142,0.8876652718,Canasta 4
157598,10000,127,0.9851921797,Canasta 6
157602,10000,142,0.8577898145,Canasta 4
157608,10000,142,0.9449500442,Canasta 5
157609,9000,142,0.8435639143,Canasta 4
157611,10000,147,0.8058055043,Canasta 3
157612,0,0,0.4155594707,Canasta 1
157613,0,0,0.3948555887,Canasta 1
157654,0,0,0.3441471159,Canasta 1
157656,0,0,0.5105773807,Canasta 2
157658,10000,147,0.8076583147,Canasta 3
157659,10000,127,0.9946044087,Canasta 6
157661,10000,142,0.9181953669,Canasta 4
157662,10000,147,0.7793108225,Canasta 3
157673,0,0,0.5647150278,Canasta 2
157675,10000,127,0.975823164,Canasta 6
157676,10000,127,0.9913789034,Canasta 6
157680,10000,142,0.8417035937,Canasta 4
157681,10000,127,0.9914668798,Canasta 6
157706,0,0,0.3092285395,Canasta 1
157707,10000,147,0.8263360858,Canasta 3
157711,0,0,0.4793227315,Canasta 1
157714,10000,142,0.8617058992,Canasta 4
157717,0,0,0.4713633358,Canasta 1
157718,0,0,0.3812407851,Canasta 1
157719,10000,127,0.9900792837,Canasta 6
157728,10000,142,0.9244481325,Canasta 4
157745,10000,142,0.8535505533,Canasta 4
157764,0,0,0.6226082444,Canasta 2
157766,10000,147,0.8235061765,Canasta 3
157785,0,0,0.7170380354,Canasta 2
157786,10000,142,0.9504908919,Canasta 5
157787,10000,147,0.8108096123,Canasta 3
157789,10000,142,0.9244270921,Canasta 4
157790,0,0,0.678943336,Canasta 2
157791,10000,142,0.9164810777,Canasta 4
157794,0,0,0.2124259621,Canasta 1
157795,0,0,0.7007248998,Canasta 2
157803,10000,127,0.9818544388,Canasta 6
157818,0,0,0.1331163943,Canasta 1
157912,10000,142,0.9294523597,Canasta 4
157915,10000,147,0.7931950688,Canasta 3
157926,0,0,0.1765107363,Canasta 1
157928,7000,142,0.9011611342,Canasta 4
157929,0,0,0.4821268618,Canasta 1
157931,0,0,0.7129855752,Canasta 2
157937,0,0,0.5861772299,Canasta 2
157945,0,0,0.5992151499,Canasta 2
157948,10000,147,0.7811077237,Canasta 3
157952,0,0,0.6560429931,Canasta 2
157979,0,0,0.8977398872,Canasta 4
157982,10000,142,0.9375444651,Canasta 5
157993,10000,147,0.7603391409,Canasta 3
157995,0,0,0.4909330308,Canasta 1
157996,0,0,0.2897751033,Canasta 1
157997,0,0,0.4204054177,Canasta 1
157998,0,0,0.3886976242,Canasta 1
158022,10000,142,0.9394216537,Canasta 5
158050,8000,142,0.8612416387,Canasta 4
158053,0,0,0.7184785604,Canasta 2
