folioConsulta,folioConsultaOtorgante,claveOtorgante,idCliente,dateTime
1167066804,API1686252236754,002726,154837,2023-06-08 19:23:58
1167128091,API1686257127841,002726,154844,2023-06-08 20:45:28
1167139642,API1686257855264,002726,154846,2023-06-08 20:57:36
1166361717,API1686164004580,002726,154745,2023-06-07 18:53:25
1166864815,API1686234700071,002726,154783,2023-06-08 14:31:41
1167160657,API1686258925865,002726,154849,2023-06-08 21:15:26
1166878206,API1686236789311,002726,154793,2023-06-08 15:06:30
1166388121,API1686165896007,002726,154749,2023-06-07 19:24:57
1166950138,API1686243290277,002726,154811,2023-06-08 16:54:51
1167148337,API1686258290350,002726,154847,2023-06-08 21:04:51
1166984437,API1686245948713,002726,154821,2023-06-08 17:39:11
1166888648,API1686237920392,002726,154805,2023-06-08 15:25:21
1166897001,API1686238729651,002726,154806,2023-06-08 15:38:51
1166879274,API1686236938523,002726,154794,2023-06-08 15:08:59
1167132695,API1686257496212,002726,154808,2023-06-08 20:51:37
1167242975,API1686263108671,002726,154859,2023-06-08 22:25:09
1167157806,API1686258762857,002726,154848,2023-06-08 21:12:44
1166502669,API1686173884400,002726,154767,2023-06-07 21:38:05
1167083233,API1686253532835,002726,154840,2023-06-08 19:45:33
1166399027,API1686166671609,002726,154750,2023-06-07 19:37:53
1166549975,API1686177714788,002726,154772,2023-06-07 22:41:56
1166568805,API1686179288184,002726,122546,2023-06-07 23:08:09
1167132165,API1686257454691,002726,154845,2023-06-08 20:50:56
1166895082,API1686238555662,002726,154807,2023-06-08 15:35:56
1166269370,API1686158725136,002726,154610,2023-06-07 17:25:26
1166880215,API1686237046070,002726,154795,2023-06-08 15:10:47
1166880725,API1686237102553,002726,154803,2023-06-08 15:11:43
1166950175,API1686243293336,002726,154811,2023-06-08 16:54:54
1166951047,API1686243368829,002726,154812,2023-06-08 16:56:10
1166503925,API1686173976537,002726,154766,2023-06-07 21:39:38
1167010322,API1686247908090,002726,154824,2023-06-08 18:11:49
1166872944,API1686236002806,002726,154792,2023-06-08 14:53:23
1167022271,API1686248836946,002726,154827,2023-06-08 18:27:18
1167000311,API1686247133931,002726,154823,2023-06-08 17:58:55
1166999974,API1686247109953,002726,154822,2023-06-08 17:58:31
1166895031,API1686238551287,002726,154807,2023-06-08 15:35:52
1166557426,API1686178354080,002726,154771,2023-06-07 22:52:35
1166932901,API1686241835334,002726,154810,2023-06-08 16:30:37
