tipoMensaje,leyenda,folioConsulta
2,Respuesta exitosa de otras SIC´s,1172361744
2,Respuesta exitosa de otras SIC´s,1172379705
2,Respuesta exitosa de otras SIC´s,1172366519
2,Respuesta exitosa de otras SIC´s,1172364937
2,Respuesta exitosa de otras SIC´s,1172352856
2,No hit de otras SIC’s,1172356685
2,Respuesta exitosa de otras SIC´s,1172379168
2,Respuesta exitosa de otras SIC´s,1172349382
2,Respuesta exitosa de otras SIC´s,1172434918
2,Respuesta exitosa de otras SIC´s,1172426740
2,Respuesta exitosa de otras SIC´s,1172395595
2,Respuesta exitosa de otras SIC´s,1172402717
2,Respuesta exitosa de otras SIC´s,1172770202
2,Respuesta exitosa de otras SIC´s,1172762170
2,Respuesta exitosa de otras SIC´s,1172874582
2,Respuesta exitosa de otras SIC´s,1172928192
2,Respuesta exitosa de otras SIC´s,1172928571
2,Respuesta exitosa de otras SIC´s,1172925149
2,Respuesta exitosa de otras SIC´s,1172926422
2,Respuesta exitosa de otras SIC´s,1172925088
2,Respuesta exitosa de otras SIC´s,1172929122
2,Respuesta exitosa de otras SIC´s,1172932837
2,Respuesta exitosa de otras SIC´s,1172932821
2,Respuesta exitosa de otras SIC´s,1172928849
2,Respuesta exitosa de otras SIC´s,1172926806
2,Respuesta exitosa de otras SIC´s,1172923066
2,Respuesta exitosa de otras SIC´s,1172923109
2,Respuesta exitosa de otras SIC´s,1172922916
2,Respuesta exitosa de otras SIC´s,1172929519
2,Respuesta exitosa de otras SIC´s,1172927302
2,Respuesta exitosa de otras SIC´s,1172927671
2,Respuesta exitosa de otras SIC´s,1172970568
2,Respuesta exitosa de otras SIC´s,1172972910
2,Respuesta exitosa de otras SIC´s,1172975936
2,Respuesta exitosa de otras SIC´s,1172978539
2,Respuesta exitosa de otras SIC´s,1172972049
2,Respuesta exitosa de otras SIC´s,1172977700
2,Respuesta exitosa de otras SIC´s,1172971364
2,Respuesta exitosa de otras SIC´s,1172974831
2,Respuesta exitosa de otras SIC´s,1172977598
2,Respuesta exitosa de otras SIC´s,1172972163
2,Respuesta exitosa de otras SIC´s,1172970665
2,Respuesta exitosa de otras SIC´s,1172974920
2,Respuesta exitosa de otras SIC´s,1172975880
2,Respuesta exitosa de otras SIC´s,1172971267
2,Respuesta exitosa de otras SIC´s,1172971297
2,Respuesta exitosa de otras SIC´s,1172979403
2,Respuesta exitosa de otras SIC´s,1172974011
2,Respuesta exitosa de otras SIC´s,1172976821
2,Respuesta exitosa de otras SIC´s,1172978639
2,Respuesta exitosa de otras SIC´s,1172976720
2,Respuesta exitosa de otras SIC´s,1173012021
2,Respuesta exitosa de otras SIC´s,1173071086
2,Respuesta exitosa de otras SIC´s,1173071264
2,Respuesta exitosa de otras SIC´s,1173255189
2,Respuesta exitosa de otras SIC´s,1173758075
2,Respuesta exitosa de otras SIC´s,1173758049
2,Respuesta exitosa de otras SIC´s,1173828188
2,Respuesta exitosa de otras SIC´s,1173846247
2,Respuesta exitosa de otras SIC´s,1173846320
2,Respuesta exitosa de otras SIC´s,1173846217
2,Respuesta exitosa de otras SIC´s,1173846072
2,Respuesta exitosa de otras SIC´s,1173853785
2,Respuesta exitosa de otras SIC´s,1173846166
2,Respuesta exitosa de otras SIC´s,1173846109
2,Respuesta exitosa de otras SIC´s,1173846130
2,Respuesta exitosa de otras SIC´s,1173846149
2,Respuesta exitosa de otras SIC´s,1173846283
2,Respuesta exitosa de otras SIC´s,1173846252
2,Respuesta exitosa de otras SIC´s,1173853820
2,Respuesta exitosa de otras SIC´s,1173846244
2,Respuesta exitosa de otras SIC´s,1173886239
2,Respuesta exitosa de otras SIC´s,1173883638
2,Respuesta exitosa de otras SIC´s,1173868147
2,Respuesta exitosa de otras SIC´s,1173868169
2,Respuesta exitosa de otras SIC´s,1173886188
2,Respuesta exitosa de otras SIC´s,1173868183
2,Respuesta exitosa de otras SIC´s,1173868236
2,Respuesta exitosa de otras SIC´s,1174969460
2,Respuesta exitosa de otras SIC´s,1174969586
2,Respuesta exitosa de otras SIC´s,1174971165
2,Respuesta exitosa de otras SIC´s,1174960266
2,Respuesta exitosa de otras SIC´s,1174969554
2,Respuesta exitosa de otras SIC´s,1174960237
2,Respuesta exitosa de otras SIC´s,1174962978
2,Respuesta exitosa de otras SIC´s,1174960248
2,Respuesta exitosa de otras SIC´s,1174991464
2,Respuesta exitosa de otras SIC´s,1174992097
2,Respuesta exitosa de otras SIC´s,1174988072
2,Respuesta exitosa de otras SIC´s,1174988052
2,Respuesta exitosa de otras SIC´s,1175026397
2,Respuesta exitosa de otras SIC´s,1175023733
2,Respuesta exitosa de otras SIC´s,1175025325
2,Respuesta exitosa de otras SIC´s,1175023787
2,Respuesta exitosa de otras SIC´s,1175026169
2,Respuesta exitosa de otras SIC´s,1175025846
2,Respuesta exitosa de otras SIC´s,1175031532
2,Respuesta exitosa de otras SIC´s,1175025871
2,Respuesta exitosa de otras SIC´s,1175025676
2,Respuesta exitosa de otras SIC´s,1175024854
2,Respuesta exitosa de otras SIC´s,1175031597
2,Respuesta exitosa de otras SIC´s,1175026375
2,Respuesta exitosa de otras SIC´s,1175025641
2,Respuesta exitosa de otras SIC´s,1175049339
2,Respuesta exitosa de otras SIC´s,1175049412
2,Respuesta exitosa de otras SIC´s,1175063847
2,Respuesta exitosa de otras SIC´s,1175071175
2,Respuesta exitosa de otras SIC´s,1175075913
2,Respuesta exitosa de otras SIC´s,1175071127
2,Respuesta exitosa de otras SIC´s,1175069640
2,Respuesta exitosa de otras SIC´s,1175069575
2,Respuesta exitosa de otras SIC´s,1175113662
2,No se obtuvo respuesta de otras SIC´s,1175152779
2,Respuesta exitosa de otras SIC´s,1175147666
2,No se obtuvo respuesta de otras SIC´s,1175152720
2,Respuesta exitosa de otras SIC´s,1175149893
2,Respuesta exitosa de otras SIC´s,1175147588
2,No se obtuvo respuesta de otras SIC´s,1175157856
2,Respuesta exitosa de otras SIC´s,1175156251
2,Respuesta exitosa de otras SIC´s,1175157780
2,Respuesta exitosa de otras SIC´s,1175179851
2,Respuesta exitosa de otras SIC´s,1175185158
2,Respuesta exitosa de otras SIC´s,1175193026
2,Respuesta exitosa de otras SIC´s,1175179895
2,Respuesta exitosa de otras SIC´s,1175192371
2,Respuesta exitosa de otras SIC´s,1175206597
2,Respuesta exitosa de otras SIC´s,1175224686
2,Respuesta exitosa de otras SIC´s,1175224633
2,Respuesta exitosa de otras SIC´s,1175282641
2,Respuesta exitosa de otras SIC´s,1175282398
2,Respuesta exitosa de otras SIC´s,1175281350
2,Respuesta exitosa de otras SIC´s,1175281957
2,Respuesta exitosa de otras SIC´s,1175281694
2,Respuesta exitosa de otras SIC´s,1175282162
2,Respuesta exitosa de otras SIC´s,1175281635
2,Respuesta exitosa de otras SIC´s,1175280956
2,Respuesta exitosa de otras SIC´s,1175281006
2,Respuesta exitosa de otras SIC´s,1175341276
2,Respuesta exitosa de otras SIC´s,1175341078
2,Respuesta exitosa de otras SIC´s,1175341111
2,Respuesta exitosa de otras SIC´s,1175341252
