,id_distribuidor,fecha_consulta,folio,saldo_vencido_total,pagos_vencidos,creditos_totales,creditos_con_claves_prevencion,creditos_completados_con_atraso,creditos_completados_sin_atraso
4133,134673.0,2023-09-13 17:04:15,1236186356,11948,102,59,13,2,57
4134,145195.0,2023-09-13 17:05:53,1236187617,33970,21,38,30,1,37
4140,154439.0,2023-09-13 17:28:18,1236206454,16292,119,53,35,7,46
4141,154438.0,2023-09-13 17:28:33,1236206682,27693,118,24,14,6,18
4142,154436.0,2023-09-13 17:29:04,1236207117,4529,50,80,42,2,78
4143,154435.0,2023-09-13 17:29:31,1236207510,6818,12,7,2,2,5
4144,154437.0,2023-09-13 18:24:04,1236254208,3230,234,113,47,5,108
4145,142277.0,2023-09-13 18:44:04,1236271879,7204,33,36,10,2,34
4146,142461.0,2023-09-13 18:44:59,1236272647,3243,19,27,21,1,26
4147,142278.0,2023-09-13 18:45:49,1236273349,13939,52,18,14,2,16
4148,142251.0,2023-09-13 18:47:39,1236274906,1501,28,12,3,2,10
4149,142578.0,2023-09-13 18:49:36,1236276643,19632,170,104,63,8,96
4150,142587.0,2023-09-13 18:50:21,1236277292,33734,102,150,63,11,139
4151,142550.0,2023-09-13 18:51:07,1236277962,6225,43,14,8,1,13
4152,143200.0,2023-09-13 18:52:03,1236278842,0,0,22,12,0,22
4153,143205.0,2023-09-13 18:52:45,1236279478,0,0,9,7,0,9
4154,142546.0,2023-09-13 18:53:33,1236280252,17019,43,62,44,2,60
4155,142864.0,2023-09-13 18:54:20,1236280930,0,10,66,34,0,66
4156,154669.0,2023-09-13 18:57:18,1236283439,0,22,14,5,0,14
4157,155116.0,2023-09-13 18:58:01,1236284042,351,31,78,53,1,77
4158,154794.0,2023-09-13 18:58:54,1236284840,27456,124,17,7,8,9
4159,154795.0,2023-09-13 19:03:17,1236288555,9228,175,32,7,4,28
4160,164317.0,2023-09-13 19:14:28,1236298005,9196,58,10,5,6,4
4167,164376.0,2023-09-13 23:27:04,1236498824,1038,12,14,6,1,13
4168,164375.0,2023-09-13 23:27:29,1236499178,5131,25,63,42,2,61
4169,164373.0,2023-09-13 23:27:53,1236499546,46462,128,50,27,3,47
4171,164406.0,2023-09-14 14:55:25,1236776443,10649,53,63,38,2,61
4178,164411.0,2023-09-14 15:50:11,1236806133,0,0,1,0,0,1
4179,164414.0,2023-09-14 15:50:27,1236806298,3109,48,45,14,2,43
4181,153722.0,2023-09-14 15:55:34,1236809513,146868,142,25,15,6,19
4183,153727.0,2023-09-14 15:56:08,1236809879,24772,71,53,21,5,48
4185,153731.0,2023-09-14 15:56:28,1236810170,4429,141,37,5,17,20
4186,153774.0,2023-09-14 15:56:46,1236810389,60372,209,60,26,5,55
4187,153777.0,2023-09-14 15:57:15,1236810730,2042,32,26,14,2,24
4188,141700.0,2023-09-14 16:26:42,1236831758,16353,31,92,18,3,89
4189,152110.0,2023-09-14 16:27:15,1236832202,1704,6,14,5,1,13
4190,133683.0,2023-09-14 17:36:24,1236887626,41879,93,57,45,2,55
4192,142329.0,2023-09-14 17:56:29,1236903616,25835,41,25,21,5,20
4193,142330.0,2023-09-14 17:56:53,1236903974,16551,70,8,5,5,3
4194,142894.0,2023-09-14 17:57:11,1236904187,39506,110,22,14,6,16
4195,142896.0,2023-09-14 17:57:29,1236904394,22801,44,31,21,5,26
4196,142898.0,2023-09-14 17:57:46,1236904642,1194,6,10,3,1,9
4197,142945.0,2023-09-14 17:58:05,1236904947,1194,5,2,0,1,1
4199,142484.0,2023-09-14 18:14:55,1236918693,85929,175,196,72,6,190
4202,86322.0,2023-09-14 20:20:37,1237020495,23799,31,98,31,3,95
4203,100394.0,2023-09-14 20:21:18,1237021033,20163,209,60,37,10,50
4204,87006.0,2023-09-14 20:22:11,1237021746,30724,71,64,52,5,59
4205,86345.0,2023-09-14 20:22:53,1237022303,9782,49,34,27,3,31
4206,87007.0,2023-09-14 20:23:35,1237022823,5739,24,32,23,1,31
4208,164485.0,2023-09-14 22:26:00,1237112731,60184,50,34,26,2,32
4223,164507.0,2023-09-15 15:52:29,1237817577,14442,172,42,20,4,38
4225,164508.0,2023-09-15 15:52:52,1237817830,4464,61,101,72,4,97
4227,164517.0,2023-09-15 15:53:13,1237818067,0,0,8,6,0,8
4234,164524.0,2023-09-15 16:22:28,1237836933,12804,27,9,2,2,7
4240,117220.0,2023-09-15 16:43:41,1237851256,176,14,52,25,2,50
4241,117216.0,2023-09-15 16:44:01,1237851488,88732,152,102,51,7,95
4242,117214.0,2023-09-15 16:44:21,1237851730,8679,3,50,44,1,49
4243,117222.0,2023-09-15 16:44:41,1237852015,36579,89,62,41,4,58
4244,117206.0,2023-09-15 16:44:59,1237852218,8436,98,29,14,5,24
4245,117223.0,2023-09-15 16:45:54,1237852881,97569,88,88,52,5,83
4246,164540.0,2023-09-15 17:05:19,1237866596,0,9,122,72,0,122
4247,151802.0,2023-09-15 17:08:32,1237868898,8103,39,28,12,2,26
4248,117217.0,2023-09-15 17:18:34,1237876199,98531,114,81,33,12,69
4251,164566.0,2023-09-15 19:44:00,1237984210,1017,18,2,0,1,1
4254,164619.0,2023-09-18 15:33:57,1239272602,58294,50,10,7,3,7
4259,164567.0,2023-09-18 16:08:56,1239315972,267,147,43,23,2,41
4262,164571.0,2023-09-18 16:09:48,1239316960,47322,144,27,15,7,20
4263,164572.0,2023-09-18 16:10:14,1239317534,47095,204,49,30,5,44
4264,164573.0,2023-09-18 16:11:04,1239318653,0,0,4,3,0,4
4266,164614.0,2023-09-18 16:12:31,1239320468,36469,586,101,37,6,95
4269,164632.0,2023-09-18 16:28:15,1239337681,33662,121,25,18,7,18
4270,164635.0,2023-09-18 16:28:32,1239337926,168613,146,33,25,6,27
4284,164648.0,2023-09-18 18:17:29,1239454577,0,0,3,2,0,3
4286,164650.0,2023-09-18 18:21:19,1239458001,4071,13,174,2,1,173
4294,164666.0,2023-09-18 19:34:04,1239521959,0,0,10,6,0,10
4299,164679.0,2023-09-18 21:46:52,1239641368,0,0,11,0,0,11
4300,164701.0,2023-09-18 22:59:39,1239702611,16400,33,10,5,3,7
4302,142542.0,2023-09-19 14:23:46,1239968368,0,0,3,2,0,3
4303,142817.0,2023-09-19 14:24:34,1239968670,24380,189,104,63,3,101
4304,142891.0,2023-09-19 14:25:15,1239968919,0,8,16,14,0,16
4305,142539.0,2023-09-19 14:25:55,1239969126,52120,87,55,42,4,51
4306,154485.0,2023-09-19 14:26:47,1239969432,18596,216,90,44,6,84
4307,143554.0,2023-09-19 14:59:22,1239983580,47709,204,97,57,11,86
4311,133685.0,2023-09-19 15:45:17,1240011480,0,3,31,26,0,31
4312,134186.0,2023-09-19 15:49:38,1240014521,44,37,76,34,1,75
4315,164749.0,2023-09-19 17:07:50,1240078119,4030,324,55,33,2,53
4316,164751.0,2023-09-19 17:14:19,1240083681,28863,111,29,22,3,26
4317,164752.0,2023-09-19 17:20:16,1240088941,13994,77,21,13,4,17
4319,164754.0,2023-09-19 17:26:01,1240094245,37963,100,42,24,5,37
4320,164755.0,2023-09-19 17:31:58,1240099605,7700,11,26,19,1,25
4321,164757.0,2023-09-19 17:37:54,1240104780,6664,108,32,26,3,29
4323,164759.0,2023-09-19 17:52:16,1240118817,0,0,6,4,0,6
4325,155073.0,2023-09-19 18:18:08,1240143370,907,3,50,31,1,49
4326,143524.0,2023-09-19 18:18:35,1240143818,1529,10,72,66,2,70
4327,143003.0,2023-09-19 18:18:59,1240144210,76247,18,26,16,3,23
4328,143567.0,2023-09-19 18:19:15,1240144493,32519,93,49,41,4,45
4329,143510.0,2023-09-19 18:19:37,1240144841,7802,48,7,3,5,2
4330,143004.0,2023-09-19 18:19:55,1240145039,73750,16,24,12,2,22
4331,119243.0,2023-09-19 18:25:53,1240150509,38329,54,26,9,6,20
4332,119216.0,2023-09-19 18:26:15,1240150883,0,0,3,0,0,3
4333,164784.0,2023-09-19 19:21:23,1240209174,28549,63,61,46,5,56
4341,164795.0,2023-09-19 21:05:56,1240325800,46859,241,39,17,9,30
4342,164800.0,2023-09-19 21:22:27,1240343627,35421,42,26,17,5,21
4357,164832.0,2023-09-20 15:42:43,1240887419,0,0,1,0,0,1
4360,164834.0,2023-09-20 15:54:38,1240895963,50589,25,12,6,1,11
4365,146745.0,2023-09-20 16:33:45,1240926623,6862,103,32,20,6,26
4372,164897.0,2023-09-20 18:35:31,1241036232,7178,108,45,25,5,40
4373,164899.0,2023-09-20 18:58:15,1241057146,67387,126,14,7,7,7
4374,164900.0,2023-09-20 19:07:17,1241065107,20829,35,4,2,3,1
4375,164902.0,2023-09-20 19:15:37,1241072448,26829,71,20,4,4,16
4378,164911.0,2023-09-20 19:23:53,1241079530,101254,300,99,28,13,86
4379,88539.0,2023-09-20 19:35:55,1241089852,133963,15,6,3,1,5
4380,88583.0,2023-09-20 19:36:16,1241090140,133963,16,7,5,1,6
4381,88547.0,2023-09-20 19:37:23,1241091446,134221,23,39,17,3,36
4382,88541.0,2023-09-20 19:37:42,1241091719,142198,208,19,7,2,17
4383,145183.0,2023-09-20 19:38:00,1241091931,0,0,21,15,0,21
4384,144876.0,2023-09-20 19:39:47,1241093387,0,0,2,0,0,2
4386,164914.0,2023-09-20 20:19:57,1241128534,9537,21,2,2,1,1
4388,164919.0,2023-09-20 20:37:20,1241143404,10548,26,43,13,3,40
4389,164921.0,2023-09-20 20:50:32,1241154393,27129,43,10,5,5,5
4391,164927.0,2023-09-20 21:14:16,1241174414,0,0,3,2,0,3
4393,164931.0,2023-09-20 22:19:07,1241226974,22119,54,8,5,4,4
4394,164943.0,2023-09-21 00:00:22,1241301357,62430,105,21,12,11,10
4395,164944.0,2023-09-21 00:06:25,1241305516,53274,326,114,31,12,102
4396,164945.0,2023-09-21 00:17:20,1241312757,37854,24,6,3,1,5
4399,144088.0,2023-09-21 15:08:52,1241511295,0,12,10,7,0,10
4405,164971.0,2023-09-21 15:50:13,1241539906,7280,26,69,49,1,68
4406,146001.0,2023-09-21 15:54:02,1241542686,162408,219,105,30,5,100
4408,164980.0,2023-09-21 16:07:12,1241552095,5531,50,5,2,4,1
4418,134432.0,2023-09-21 19:39:50,1241727943,0,0,94,40,0,94
4421,165029.0,2023-09-21 20:35:48,1241777566,34869,39,12,9,4,8
4428,165046.0,2023-09-21 21:44:57,1241847136,0,15,28,6,0,28
4429,165047.0,2023-09-21 21:50:22,1241852697,12912,29,13,5,2,11
4434,165052.0,2023-09-21 22:46:27,1241909063,632,3,7,5,1,6
4447,165091.0,2023-09-22 15:31:27,1242249332,684,4,21,13,2,19
4449,165093.0,2023-09-22 15:31:58,1242249616,11898,35,68,28,4,64
4464,142353.0,2023-09-22 19:29:58,1242484337,24953,21,60,40,4,56
4466,144006.0,2023-09-22 19:30:26,1242484814,0,6,5,1,0,5
4467,144378.0,2023-09-22 19:31:10,1242485551,30176,190,55,40,3,52
4468,154717.0,2023-09-22 19:31:31,1242485948,24921,27,29,10,2,27
4473,154837.0,2023-09-22 22:55:38,1242700423,105,187,88,57,1,87
4474,154824.0,2023-09-22 22:56:13,1242700974,0,1,6,0,0,6
4476,154821.0,2023-09-22 22:57:06,1242701839,13846,207,90,53,2,88
4477,154812.0,2023-09-22 22:57:31,1242702237,12028,27,6,4,3,3
4485,165141.0,2023-09-23 14:59:30,1243991043,15882,81,77,59,4,73
4486,165149.0,2023-09-23 15:29:01,1244057039,8888,58,18,13,4,14
4488,165150.0,2023-09-23 15:40:06,1244070815,42502,74,27,16,6,21
4489,165152.0,2023-09-23 15:40:12,1244070942,3150,6,20,1,1,19
4495,165157.0,2023-09-23 16:11:08,1244133731,4450,32,31,18,2,29
4502,165164.0,2023-09-23 16:58:30,1244201756,0,2,7,1,0,7
4505,165167.0,2023-09-23 17:26:09,1244241123,24701,55,34,22,8,26
4507,165166.0,2023-09-23 17:26:35,1244241854,17741,115,15,5,5,10
4508,165165.0,2023-09-23 17:26:52,1244242429,17761,314,24,16,6,18
4510,165169.0,2023-09-23 17:49:42,1244284697,1912,38,34,21,5,29
4512,165171.0,2023-09-23 17:56:38,1244298050,1285,150,38,23,3,35
4515,143507.0,2023-09-25 14:58:30,1245346002,18301,151,36,23,4,32
4516,143530.0,2023-09-25 14:58:57,1245346476,142,121,58,29,1,57
4517,143620.0,2023-09-25 14:59:20,1245346901,6573,41,46,18,3,43
4518,143550.0,2023-09-25 14:59:45,1245347377,3199,22,37,18,2,35
4519,143508.0,2023-09-25 15:00:12,1245347873,7700,45,35,15,1,34
4521,165225.0,2023-09-25 16:57:53,1245507612,35882,23,40,23,2,38
4537,165236.0,2023-09-25 17:57:54,1245593253,12090,5,12,2,2,10
4540,165237.0,2023-09-25 18:00:17,1245595476,83214,109,29,19,5,24
4544,165247.0,2023-09-25 19:41:29,1245721645,0,1,8,6,0,8
4545,165240.0,2023-09-25 19:41:50,1245721917,14613,19,50,30,2,48
4547,165249.0,2023-09-25 21:08:50,1245793258,0,0,2,1,0,2
4548,84751.0,2023-09-25 21:16:36,1245799171,54907,341,41,21,7,34
4563,165308.0,2023-09-26 15:16:33,1246312981,22675,121,14,10,5,9
4567,165298.0,2023-09-26 15:29:33,1246320287,141596,108,91,50,6,85
4568,165316.0,2023-09-26 16:03:52,1246342016,26206,37,49,19,6,43
4570,165318.0,2023-09-26 16:14:41,1246349598,9742,0,32,10,2,30
4578,165332.0,2023-09-26 18:10:44,1246442654,6444,17,25,10,2,23
4579,165333.0,2023-09-26 18:24:56,1246454454,32860,46,24,16,4,20
4581,165339.0,2023-09-26 19:01:39,1246485109,1888,18,44,14,2,42
4582,165334.0,2023-09-26 19:01:55,1246485341,0,0,12,6,0,12
4583,165336.0,2023-09-26 19:02:08,1246485459,3056,8,16,5,1,15
4584,165338.0,2023-09-26 19:02:19,1246485645,3368,3,2,0,1,1
4585,165340.0,2023-09-26 19:02:29,1246485735,17033,6,40,23,1,39
4586,165341.0,2023-09-26 19:10:29,1246491942,0,0,5,2,0,5
4592,106179.0,2023-09-26 19:27:27,1246505918,49914,76,44,19,3,41
4595,154880.0,2023-09-26 19:37:29,1246513834,0,0,14,4,0,14
4596,165356.0,2023-09-26 19:42:44,1246517967,13441,26,11,2,3,8
4597,165354.0,2023-09-26 19:43:05,1246518265,26884,26,25,3,2,23
4598,155145.0,2023-09-26 19:49:17,1246523418,55163,53,41,24,5,36
4601,155146.0,2023-09-26 19:58:30,1246532175,6426,22,19,14,2,17
4602,114566.0,2023-09-26 20:29:34,1246557201,10504,175,63,17,8,55
4603,114564.0,2023-09-26 20:30:10,1246557707,3586,7,52,8,1,51
4604,114568.0,2023-09-26 20:30:37,1246558030,873,258,29,8,3,26
4605,115084.0,2023-09-26 20:31:09,1246558460,975,65,23,10,5,18
4606,136857.0,2023-09-26 20:31:35,1246558797,5809,18,21,15,3,18
4608,146323.0,2023-09-26 20:32:31,1246559528,21839,25,15,2,1,14
4623,165370.0,2023-09-26 21:48:03,1246617882,1497,8,13,8,1,12
4624,165373.0,2023-09-26 22:12:45,1246636705,76214,198,67,40,7,60
4625,165372.0,2023-09-26 22:13:17,1246637061,186423,118,53,32,3,50
4628,165366.0,2023-09-26 22:15:18,1246638482,224640,255,98,29,21,77
4631,134433.0,2023-09-26 22:42:26,1246659126,1411,17,6,0,3,3
4632,123158.0,2023-09-26 22:47:35,1246662982,126247,99,51,34,6,45
4633,123173.0,2023-09-26 23:01:22,1246673195,46013,40,9,5,3,6
4635,165392.0,2023-09-26 23:03:29,1246674816,50886,116,122,31,5,117
4637,165422.0,2023-09-27 13:26:02,1246908167,0,0,1,0,0,1
4639,165427.0,2023-09-27 15:03:53,1246939351,5180,8,24,21,1,23
4641,144366.0,2023-09-27 15:45:16,1246963836,25624,378,96,47,8,88
4643,144368.0,2023-09-27 15:45:34,1246964057,4233,67,89,41,2,87
4644,144369.0,2023-09-27 15:45:48,1246964218,4099,60,53,18,2,51
4645,144370.0,2023-09-27 15:46:05,1246964390,84604,167,81,44,7,74
4648,165432.0,2023-09-27 16:02:04,1246975527,0,6,1,1,0,1
4650,106189.0,2023-09-27 16:06:20,1246978433,46306,62,36,20,2,34
4651,143948.0,2023-09-27 16:15:21,1246985026,22024,195,47,8,4,43
4657,155484.0,2023-09-27 16:32:51,1246997971,6552,35,40,17,2,38
4659,155495.0,2023-09-27 16:33:48,1246998727,25497,113,89,34,7,82
4660,155504.0,2023-09-27 16:34:14,1246999083,140100,242,123,44,11,112
4662,155513.0,2023-09-27 16:34:48,1246999489,13815,49,76,30,5,71
4663,155519.0,2023-09-27 16:35:13,1246999855,73556,75,60,21,5,55
4664,155805.0,2023-09-27 16:36:09,1247000551,117326,176,65,22,13,52
4673,165452.0,2023-09-27 17:18:57,1247035006,91640,168,43,25,7,36
4674,165463.0,2023-09-27 17:37:56,1247053771,6691,15,22,11,2,20
4685,154042.0,2023-09-27 18:28:10,1247102579,14505,34,57,19,3,54
4686,154040.0,2023-09-27 18:28:33,1247102886,8313,33,15,9,2,13
4687,105401.0,2023-09-27 18:31:11,1247105373,2027,21,112,74,1,111
4688,120973.0,2023-09-27 18:32:08,1247106222,17764,297,33,12,3,30
4689,120893.0,2023-09-27 18:32:38,1247106667,40507,22,48,21,1,47
4690,132704.0,2023-09-27 18:33:03,1247107066,17292,69,19,10,3,16
4691,145067.0,2023-09-27 18:33:26,1247107415,0,110,7,4,0,7
4692,145099.0,2023-09-27 18:33:48,1247107801,0,0,12,10,0,12
4695,95297.0,2023-09-27 19:17:16,1247150223,7108,77,38,22,4,34
4696,95301.0,2023-09-27 19:17:43,1247150606,715,18,17,7,1,16
4697,95307.0,2023-09-27 19:18:13,1247151148,0,11,15,11,0,15
4698,95312.0,2023-09-27 19:18:52,1247151844,7345,26,41,15,2,39
4699,145331.0,2023-09-27 19:19:22,1247152303,37018,179,26,10,7,19
4700,95311.0,2023-09-27 19:19:51,1247152768,23660,175,149,13,7,142
4701,95304.0,2023-09-27 19:20:14,1247153104,9026,137,50,9,4,46
4703,135626.0,2023-09-27 19:29:25,1247161386,7986,47,45,28,3,42
4704,95313.0,2023-09-27 19:29:24,1247161392,131850,112,16,4,7,9
4705,95295.0,2023-09-27 19:30:04,1247161949,715,20,27,11,1,26
4706,106443.0,2023-09-27 19:30:33,1247162388,5313,54,14,7,4,10
4707,135632.0,2023-09-27 19:31:56,1247163476,5935,64,74,51,2,72
4708,135628.0,2023-09-27 19:35:34,1247166600,29663,187,199,87,5,194
4709,143696.0,2023-09-27 19:43:56,1247174229,0,91,63,34,0,63
4710,165428.0,2023-09-27 20:05:01,1247193200,4719,94,8,7,1,7
4713,165511.0,2023-09-27 22:26:23,1247300014,54227,71,37,27,7,30
4716,153202.0,2023-09-27 22:58:45,1247322120,35302,116,48,29,8,40
4717,153878.0,2023-09-27 22:59:15,1247322473,14150,60,10,3,6,4
4718,153678.0,2023-09-27 22:59:43,1247322781,6207,8,19,4,2,17
4719,153251.0,2023-09-27 23:00:24,1247323203,4326,35,30,22,3,27
4720,153889.0,2023-09-27 23:00:57,1247323572,14857,98,31,13,7,24
4724,144375.0,2023-09-27 23:42:42,1247351580,3236,18,17,12,1,16
4725,165540.0,2023-09-28 00:15:46,1247372741,3572,12,19,11,2,17
4726,165541.0,2023-09-28 00:15:55,1247372813,46662,56,26,17,4,22
4727,165554.0,2023-09-28 15:09:10,1247582487,5686,5,16,6,1,15
4728,165555.0,2023-09-28 15:14:28,1247585200,0,0,3,1,0,3
4758,165542.0,2023-09-28 21:12:22,1247928794,33592,129,106,71,7,99
4759,165641.0,2023-09-28 21:45:52,1247961583,49274,391,63,42,20,43
4760,165642.0,2023-09-28 21:57:32,1247973227,18399,50,15,8,3,12
4761,154932.0,2023-09-28 22:02:50,1247978193,0,2,10,6,0,10
4762,155488.0,2023-09-28 22:03:26,1247978763,993,24,7,5,1,6
4765,165665.0,2023-09-29 15:00:09,1248310525,0,0,3,2,0,3
4767,109540.0,2023-09-29 16:28:37,1248358098,36548,59,120,72,3,117
4768,109632.0,2023-09-29 16:30:25,1248359039,23773,49,69,37,3,66
4769,130209.0,2023-09-29 16:30:39,1248359185,3986,17,136,61,3,133
4770,109532.0,2023-09-29 16:30:48,1248359271,90122,177,107,95,4,103
4771,109634.0,2023-09-29 16:31:31,1248359609,2831,39,11,4,2,9
4772,145969.0,2023-09-29 16:32:12,1248359982,45929,142,116,62,7,109
4774,144007.0,2023-09-29 16:35:38,1248361816,20579,166,58,39,6,52
4775,144003.0,2023-09-29 16:35:54,1248361947,15730,23,42,31,1,41
4776,143838.0,2023-09-29 16:36:21,1248362160,33476,16,25,8,2,23
4778,144001.0,2023-09-29 16:36:54,1248362401,0,28,3,0,0,3
4779,155337.0,2023-09-29 16:37:11,1248362567,9847,30,44,6,1,43
4782,165673.0,2023-09-29 17:29:59,1248392017,94457,62,28,17,3,25
4784,135629.0,2023-09-29 18:15:15,1248429364,0,2,87,27,0,87
4785,111617.0,2023-09-29 18:46:26,1248457577,18048,21,55,49,2,53
4786,111622.0,2023-09-29 18:46:27,1248457595,122105,75,84,60,5,79
4787,143347.0,2023-09-29 18:46:33,1248457688,337,15,45,28,1,44
4788,142683.0,2023-09-29 18:46:44,1248457866,12866,121,17,8,2,15
4806,165832.0,2023-10-02 16:39:48,1249957843,0,0,11,2,0,11
4807,165833.0,2023-10-02 16:46:39,1249963707,18139,28,26,17,2,24
4808,165834.0,2023-10-02 16:53:28,1249969311,87357,88,65,43,6,59
4809,165849.0,2023-10-02 17:02:04,1249976431,0,15,3,0,0,3
4810,165855.0,2023-10-02 17:15:18,1249985306,48713,33,31,18,2,29
4825,145180.0,2023-10-03 16:47:58,1250702514,159910,110,154,29,8,146
4828,154960.0,2023-10-03 17:03:19,1250716478,112357,69,61,27,4,57
4868,122645.0,2023-10-04 15:57:34,1251437138,6593,252,99,63,5,94
4872,135039.0,2023-10-04 16:19:59,1251452922,17912,83,118,61,3,115
4899,120188.0,2023-10-05 15:08:26,1252067386,134470,238,36,17,8,28
4900,120190.0,2023-10-05 15:08:57,1252067625,0,0,4,2,0,4
4901,120187.0,2023-10-05 15:09:21,1252067857,3570,12,13,8,2,11
4902,120186.0,2023-10-05 15:09:43,1252068025,0,0,2,1,0,2
4903,120189.0,2023-10-05 15:10:10,1252068255,0,0,12,10,0,12
4906,135020.0,2023-10-05 15:23:26,1252074909,0,1,21,14,0,21
4907,154363.0,2023-10-05 16:12:58,1252105612,5655,72,6,3,1,5
4923,166110.0,2023-10-05 20:15:57,1252295840,21072,134,40,27,8,32
4934,166121.0,2023-10-05 23:01:06,1252418495,1951,13,1,0,1,0
4937,166130.0,2023-10-06 00:29:32,1252475803,1090,4,7,2,1,6
4941,166134.0,2023-10-06 14:12:10,1252723488,677,1,1,1,1,0
4943,156837.0,2023-10-06 14:31:57,1252729270,21532,224,64,42,8,56
4944,156850.0,2023-10-06 14:34:22,1252730041,83348,36,70,43,9,61
4946,156871.0,2023-10-06 14:35:15,1252730343,20504,99,31,17,7,24
4947,156863.0,2023-10-06 14:35:56,1252730546,6026,39,42,7,5,37
4952,156108.0,2023-10-06 16:20:12,1252785786,15083,54,28,8,2,26
4954,155755.0,2023-10-06 16:22:01,1252786946,58204,7,10,6,1,9
4955,155763.0,2023-10-06 16:22:37,1252787374,61461,53,32,14,4,28
4956,155762.0,2023-10-06 16:23:14,1252787801,89808,23,17,13,2,15
4957,156111.0,2023-10-06 16:23:38,1252788058,117977,248,47,32,7,40
4958,156736.0,2023-10-06 16:24:02,1252788299,399,122,38,19,1,37
4959,166146.0,2023-10-06 16:56:54,1252812179,0,8,10,10,0,10
4966,151817.0,2023-10-06 17:56:16,1252860617,6014,237,16,5,3,13
4967,156151.0,2023-10-06 17:56:44,1252861008,3960,16,4,2,2,2
4968,156159.0,2023-10-06 17:57:09,1252861359,235849,141,40,22,13,27
4970,156247.0,2023-10-06 17:57:30,1252861681,204384,261,153,40,18,135
4973,156365.0,2023-10-06 17:58:18,1252862392,3455,23,33,16,2,31
4975,156460.0,2023-10-06 17:59:20,1252863288,5221,30,37,23,4,33
4977,156882.0,2023-10-06 18:00:01,1252863839,62712,103,25,18,3,22
4982,166165.0,2023-10-06 19:01:34,1252915828,12142,18,20,9,5,15
4983,166163.0,2023-10-06 19:01:43,1252916007,82073,216,17,1,7,10
4988,166174.0,2023-10-06 21:08:01,1253021638,4112,87,42,16,2,40
4994,166198.0,2023-10-07 01:03:06,1253182205,40773,170,21,8,6,15
5015,145827.0,2023-10-09 16:34:38,1254324145,14694,108,42,32,2,40
5017,145828.0,2023-10-09 16:35:22,1254324683,11585,126,23,9,1,22
5018,146004.0,2023-10-09 16:35:58,1254325104,26551,246,66,44,4,62
5019,145831.0,2023-10-09 16:36:25,1254325490,0,0,4,2,0,4
5020,145829.0,2023-10-09 16:37:06,1254325950,23476,7,7,2,1,6
5021,154897.0,2023-10-09 16:37:37,1254326274,5469,352,41,16,2,39
5028,144024.0,2023-10-09 20:21:26,1254516197,62517,44,31,17,4,27
5029,144098.0,2023-10-09 20:21:43,1254516420,35574,61,14,6,3,11
5030,144100.0,2023-10-09 20:22:05,1254516717,6467,15,43,30,2,41
5031,144665.0,2023-10-09 20:22:19,1254516904,12736,19,25,22,2,23
5032,144021.0,2023-10-09 20:22:35,1254517120,186992,63,27,20,4,23
5034,154900.0,2023-10-09 21:59:00,1254597781,0,44,29,20,0,29
5035,154899.0,2023-10-09 21:59:19,1254598030,0,11,25,22,0,25
5036,154905.0,2023-10-09 21:59:27,1254598134,0,5,36,30,0,36
5037,124957.0,2023-10-09 21:59:40,1254598309,1333,24,62,48,2,60
5038,154906.0,2023-10-09 21:59:46,1254598385,5128,49,60,45,4,56
5071,156422.0,2023-10-10 22:09:21,1255312482,15769,90,27,12,5,22
5072,156418.0,2023-10-10 22:09:46,1255312814,24738,178,30,19,5,25
5073,155867.0,2023-10-10 22:10:07,1255313091,1980,14,7,5,1,6
5074,155889.0,2023-10-10 22:10:32,1255313396,28955,432,76,16,8,68
5081,166390.0,2023-10-10 23:08:37,1255358308,22872,393,90,43,33,57
5294,148682.0,2023-10-16 17:29:31,1258839042,4335,73,33,20,2,31
5387,166913.0,2023-10-17 17:55:52,1259742923,0,0,23,4,0,23
5390,166922.0,2023-10-17 17:56:48,1259743646,1027,1,2,0,1,1
5438,167045.0,2023-10-18 18:44:11,1260571152,1229,4,10,1,1,9
5491,110298.0,2023-10-19 22:20:10,1261575946,31153,106,44,22,9,35
5620,157656.0,2023-10-24 15:01:25,1264037440,232564,106,60,32,7,53
5626,167423.0,2023-10-24 15:08:38,1264040848,35575,21,17,13,4,13
5635,157602.0,2023-10-24 15:53:35,1264069594,13857,81,10,6,3,7
5758,158678.0,2023-10-26 16:51:41,1266741559,15820,41,61,38,4,57
5794,156129.0,2023-10-26 20:33:15,1266918980,26196,35,61,16,5,56
5908,150831.0,2023-10-30 19:26:53,1269497675,58737,119,92,51,5,87
6137,108672.0,2023-11-08 16:26:59,1274533909,41042,107,45,29,3,42
6138,108501.0,2023-11-08 16:27:53,1274534563,32917,92,92,58,6,86
6139,108499.0,2023-11-08 16:28:25,1274534965,41042,99,91,39,3,88
6142,149448.0,2023-11-08 16:33:59,1274539126,72654,62,35,16,5,30
6171,150323.0,2023-11-08 22:21:01,1274859865,225144,155,90,62,10,80
6250,148939.0,2023-11-10 19:33:43,1276070020,108501,151,36,17,4,32
6253,148907.0,2023-11-10 19:35:03,1276071102,162739,28,26,9,2,24
6401,169239.0,2023-11-14 20:21:07,1278752802,0,0,2,2,0,2
6921,159050.0,2023-11-17 20:13:13,1281357023,1812,3,21,16,1,20
6938,159760.0,2023-11-17 20:14:03,1281357796,12315,37,11,6,3,8
6951,159769.0,2023-11-17 20:14:32,1281358206,48807,333,292,45,7,285
