nombreScore,valor,razones,folioConsulta
FICO,435,"K0,J0,D7,E2",1172356685
FICO,505,"K0,J0,E2,D7",1172379168
FICO,519,"K0,J0,E2,D7",1172349382
FICO,454,"K0,D7,J0,E2",1172434918
FICO,588,"J0,E2,F7,D7",1172426740
FICO,524,"D7,J0,K0,E2",1172395595
FICO,508,"K0,J0,E2,D8",1172402717
FICO,464,"K0,J0,E2,D2",1172770202
FICO,0,"C2,None,None,None",1172762170
FICO,417,"K0,D7,J0,E2",1172874582
FICO,419,"K0,D7,J0,E2",1172928192
FICO,451,"K0,J0,D7,D8",1172928571
FICO,515,"K0,J0,E2,D8",1172925149
FICO,412,"K0,D7,J0,E2",1172926422
FICO,456,"J0,K0,D7,E2",1172925088
FICO,378,"K0,D7,J0,E2",1172929122
FICO,442,"D2,E2,A1,J0",1172932837
FICO,442,"D2,E2,A1,J0",1172932821
FICO,455,"K0,J0,E2,D8",1172928849
FICO,382,"K0,D7,J0,E2",1172926806
FICO,487,"K0,J0,E2,D2",1172923066
FICO,487,"K0,J0,E2,D2",1172923109
FICO,487,"K0,J0,E2,D2",1172922916
FICO,495,"J0,K0,D7,E2",1172929519
FICO,447,"K0,D7,J0,D8",1172927302
FICO,413,"K0,D7,J0,E2",1172927671
FICO,473,"K0,J0,D8,E2",1172970568
FICO,461,"K0,J0,E2,D8",1172972910
FICO,430,"K0,D7,J0,E2",1172975936
FICO,501,"J0,K0,D7,E2",1172978539
FICO,535,"K0,D8,E2,J0",1172972049
FICO,417,"K0,D7,J0,E2",1172977700
FICO,459,"K0,J0,E2,D8",1172971364
FICO,431,"K0,D7,J0,E2",1172974831
FICO,417,"K0,D7,J0,E2",1172977598
FICO,535,"K0,D8,E2,J0",1172972163
FICO,473,"K0,J0,D8,E2",1172970665
FICO,431,"K0,D7,J0,E2",1172974920
FICO,430,"K0,D7,J0,E2",1172975880
FICO,459,"K0,J0,E2,D8",1172971267
FICO,459,"K0,J0,E2,D8",1172971297
FICO,499,"K0,J0,D8,E2",1172979403
FICO,490,"K0,J0,D8,E2",1172974011
FICO,477,"K0,J0,E2,D8",1172976821
FICO,501,"J0,K0,D7,E2",1172978639
FICO,477,"K0,J0,E2,D8",1172976720
FICO,415,"K0,D7,J0,E2",1173012021
FICO,554,"K0,J0,E2,M1",1173071086
FICO,554,"K0,J0,E2,M1",1173071264
FICO,546,"E2,A1,J0,P6",1173255189
FICO,483,"K0,J0,E2,D7",1173758075
FICO,483,"K0,J0,E2,D7",1173758049
FICO,463,"K0,J0,E2,D2",1173828188
FICO,517,"K0,E2,F7,E4",1173846247
FICO,517,"K0,E2,F7,E4",1173846320
FICO,517,"K0,E2,F7,E4",1173846217
