label,approval_score,applicant_id
RECHAZADO,0.5783013701,145442
APROBADO,0.9919860363,145444
APROBADO,0.9947734475,157169
RECHAZADO,0.5640428662,157171
RECHAZADO,0.8374508023,157178
RECHAZADO,0.8708075285,157185
RECHAZADO,0.6915037632,157188
RECHAZADO,0.8920704722,157189
APROBADO,0.9945117235,157194
RECHAZADO,0.5607447028,157198
APROBADO,0.9558932185,157201
RECHAZADO,0.9257916212,157204
RECHAZADO,0.5745864511,147364
RECHAZADO,0.7435908318,147481
RECHAZADO,0.2827648818,147486
RECHAZADO,0.6387827992,147490
RECHAZADO,0.8803259134,153407
RECHAZADO,0.8937644958,153409
RECHAZADO,0.8265540004,153432
RECHAZADO,0.1064970791,153820
RECHAZADO,0.05095952,153821
RECHAZADO,0.0643117428,154057
RECHAZADO,0.1816181093,154061
RECHAZADO,0.1470990926,154217
RECHAZADO,0.605232656,154329
RECHAZADO,0.6177462339,154332
RECHAZADO,0.8419806957,154351
RECHAZADO,0.619622767,154374
RECHAZADO,0.0254242346,154409
RECHAZADO,0.6752268672,154475
RECHAZADO,0.6254757047,154477
RECHAZADO,0.8467158079,154772
RECHAZADO,0.026798645,154844
RECHAZADO,0.4720928371,154896
RECHAZADO,0.7166278958,153341
RECHAZADO,0.8401336074,154845
RECHAZADO,0.9043354988,155619
RECHAZADO,0.5089255571,155621
RECHAZADO,0.4718994796,155668
RECHAZADO,0.8634873033,156076
APROBADO,0.9717806578,159068
RECHAZADO,0.7214441895,159069
RECHAZADO,0.5718929172,160010
RECHAZADO,0.5398387909,160011
APROBADO,0.9870660901,160012
RECHAZADO,0.3239313066,160015
RECHAZADO,0.2830668986,160020
RECHAZADO,0.5595659614,160463
RECHAZADO,0.8354703784,157115
RECHAZADO,0.8383793235,157132
RECHAZADO,0.6719324589,157205
RECHAZADO,0.4316231906,157261
RECHAZADO,0.1296377033,157375
RECHAZADO,0.5742675662,157382
RECHAZADO,0.316147089,157414
RECHAZADO,0.3852876425,157509
RECHAZADO,0.4868990183,157520
RECHAZADO,0.66883564,157522
RECHAZADO,0.4260421097,157527
RECHAZADO,0.7515620589,157586
RECHAZADO,0.4682892263,157587
RECHAZADO,0.5628985763,157591
RECHAZADO,0.9191902876,157673
RECHAZADO,0.6519879699,157745
APROBADO,0.9592878819,156047
RECHAZADO,0.6056770682,156049
RECHAZADO,0.8285316825,156050
RECHAZADO,0.8979979157,156117
RECHAZADO,0.7375496626,156149
RECHAZADO,0.8732226491,156152
RECHAZADO,0.9025810361,156603
RECHAZADO,0.839636445,156616
APROBADO,0.9906065464,156721
APROBADO,0.9683276415,156731
RECHAZADO,0.772379756,159006
RECHAZADO,0.8460476398,159015
RECHAZADO,0.6538496614,159079
RECHAZADO,0.8059725761,159110
APROBADO,0.9943013191,159116
APROBADO,0.9420922399,159124
RECHAZADO,0.8861704469,159150
RECHAZADO,0.3113109171,159153
APROBADO,0.9955047965,159192
RECHAZADO,0.5770319104,159207
APROBADO,0.9853583574,159215
APROBADO,0.9923282266,159220
APROBADO,0.9943596721,159238
RECHAZADO,0.9089214802,159307
RECHAZADO,0.9319170117,159312
RECHAZADO,0.2360117137,159499
RECHAZADO,0.3130870163,159500
RECHAZADO,0.0888298452,159501
RECHAZADO,0.2253803462,159502
RECHAZADO,0.708460331,159505
RECHAZADO,0.6198966503,159507
RECHAZADO,0.1186077595,159509
RECHAZADO,0.4578870535,159510
RECHAZADO,0.2204383314,159549
RECHAZADO,0.4531163275,159557
RECHAZADO,0.1696956307,159558
RECHAZADO,0.5783013701,145442
APROBADO,0.9919860363,145444
APROBADO,0.9947734475,157169
RECHAZADO,0.5640428662,157171
RECHAZADO,0.8374508023,157178
RECHAZADO,0.8708075285,157185
RECHAZADO,0.6915037632,157188
RECHAZADO,0.8920704722,157189
APROBADO,0.9945117235,157194
RECHAZADO,0.5607447028,157198
APROBADO,0.9558932185,157201
RECHAZADO,0.9257916212,157204
RECHAZADO,0.5745864511,147364
RECHAZADO,0.7435908318,147481
RECHAZADO,0.2827648818,147486
RECHAZADO,0.6387827992,147490
RECHAZADO,0.8803259134,153407
RECHAZADO,0.8937644958,153409
RECHAZADO,0.8265540004,153432
RECHAZADO,0.1064970791,153820
RECHAZADO,0.05095952,153821
RECHAZADO,0.0643117428,154057
RECHAZADO,0.1816181093,154061
RECHAZADO,0.1470990926,154217
RECHAZADO,0.605232656,154329
RECHAZADO,0.6177462339,154332
RECHAZADO,0.8419806957,154351
RECHAZADO,0.619622767,154374
RECHAZADO,0.0254242346,154409
RECHAZADO,0.6752268672,154475
RECHAZADO,0.6254757047,154477
RECHAZADO,0.8467158079,154772
RECHAZADO,0.026798645,154844
RECHAZADO,0.4720928371,154896
RECHAZADO,0.7166278958,153341
RECHAZADO,0.8401336074,154845
RECHAZADO,0.9043354988,155619
RECHAZADO,0.5089255571,155621
RECHAZADO,0.4718994796,155668
RECHAZADO,0.8634873033,156076
APROBADO,0.9717806578,159068
RECHAZADO,0.7214441895,159069
RECHAZADO,0.5718929172,160010
RECHAZADO,0.5398387909,160011
APROBADO,0.9870660901,160012
RECHAZADO,0.3239313066,160015
RECHAZADO,0.2830668986,160020
RECHAZADO,0.5595659614,160463
RECHAZADO,0.8354703784,157115
RECHAZADO,0.8383793235,157132
RECHAZADO,0.6719324589,157205
RECHAZADO,0.4316231906,157261
RECHAZADO,0.1296377033,157375
RECHAZADO,0.5742675662,157382
RECHAZADO,0.316147089,157414
RECHAZADO,0.3852876425,157509
RECHAZADO,0.4868990183,157520
RECHAZADO,0.66883564,157522
RECHAZADO,0.4260421097,157527
RECHAZADO,0.7515620589,157586
RECHAZADO,0.4682892263,157587
RECHAZADO,0.5628985763,157591
RECHAZADO,0.9191902876,157673
RECHAZADO,0.6519879699,157745
APROBADO,0.9592878819,156047
RECHAZADO,0.6056770682,156049
RECHAZADO,0.8285316825,156050
RECHAZADO,0.8979979157,156117
RECHAZADO,0.7375496626,156149
RECHAZADO,0.8732226491,156152
RECHAZADO,0.9025810361,156603
RECHAZADO,0.839636445,156616
APROBADO,0.9906065464,156721
APROBADO,0.9683276415,156731
RECHAZADO,0.772379756,159006
RECHAZADO,0.8460476398,159015
RECHAZADO,0.6538496614,159079
RECHAZADO,0.8059725761,159110
APROBADO,0.9943013191,159116
APROBADO,0.9420922399,159124
RECHAZADO,0.8861704469,159150
RECHAZADO,0.3113109171,159153
APROBADO,0.9955047965,159192
RECHAZADO,0.5770319104,159207
APROBADO,0.9853583574,159215
