Contrato,Anexo,Número de documento,Fecha Depósito,Fecha Aplicación,Monto de Principal,Monto de interés,Monto de IVA,Tipo de Movimiento,Cuenta,paymentId
180324,N,153704,2024-06-12,2024-06-13,-1807.32,-877.33,-140.37,PAG,OXXO,281356
184066,N,143200,2024-06-12,2024-06-13,-8789.99,-791.39,-126.62,PAG,OXXO,281337
184066,N,143200,2024-06-12,2024-06-13,0.0,-862.07,-137.93,PAG,OXXO,281338
182302,N,151440,2024-06-13,2024-06-14,-9248.13,-1281.78,-205.09,PAG,PAYCASH,281535
190783,N,176988,2024-06-13,2024-06-13,0.0,-361.11,-57.78,PAG,BONIFICACION,281378
184103,N,142542,2024-06-13,2024-06-14,-3484.76,-854.52,-136.72,PAG,OXXO,281621
187279,N,155265,2024-06-13,2024-06-14,-5458.49,-1657.34,-265.17,PAG,OXXO,281596
189819,N,156216,2024-06-13,2024-06-14,-6736.18,-1863.65,-298.18,PAG,OXXO,281599
186498,N,104629,2024-06-13,2024-06-13,-1744.16,-0.73,-0.12,PAG,PAYCASH,281486
186126,N,143674,2024-06-13,2024-06-14,-1267.41,-411.72,-65.87,PAG,OXXO,281624
187311,N,175679,2024-06-13,2024-06-14,-1468.57,-796.07,-127.37,PAG,OXXO,281612
189032,N,147495,2024-06-13,2024-06-13,-5473.0,-37.09,-5.93,PAG,PAYCASH,281516
188668,N,147991,2024-06-13,2024-06-14,-4504.28,-1634.24,-261.48,PAG,OXXO,281610
184243,N,116809,2024-06-14,2024-06-14,-1490.0,-0.86,-0.14,PAG,BANCOMER,281725
183669,N,133683,2024-06-14,2024-06-14,-10121.24,-1806.69,-289.07,PAG,BANCOMER,281702
185872,N,134434,2024-06-14,2024-06-15,-2290.74,-461.43,-73.83,PAG,OXXO,281979
185296,N,156091,2024-06-14,2024-06-15,-2442.07,-644.77,-103.16,PAG,OXXO,281960
182827,N,152826,2024-06-14,2024-06-17,0.0,-0.69,-0.11,PAG,BANCOMER,282410
182112,N,171060,2024-06-14,2024-06-15,-3986.63,-557.22,-89.15,PAG,OXXO,281945
189353,N,133497,2024-06-14,2024-06-15,-2831.81,-973.44,-155.75,PAG,OXXO,281969
179894,N,151245,2024-06-14,2024-06-14,-2448.94,-243.16,-38.9,PAG,BANCOMER,281773
184030,N,184257,2024-06-14,2024-06-14,-5647.77,-976.06,-156.17,PAG,PAYCASH,281738
187813,N,121896,2024-06-14,2024-06-14,-2789.4,-835.0,-133.6,PAG,PAYCASH,281739
183649,N,130165,2024-06-14,2024-06-15,-1608.54,-244.36,-39.1,PAG,OXXO,281958
184622,N,150118,2024-06-14,2024-06-14,-3268.63,-694.28,-111.09,PAG,PAYCASH,281752
183318,N,103868,2024-06-14,2024-06-15,-4188.39,-603.97,-96.64,PAG,OXXO,281944
186172,N,135020,2024-06-14,2024-06-15,-6746.83,-1681.18,-268.99,PAG,OXXO,281964
180942,N,127823,2024-06-14,2024-06-14,-5536.24,-551.52,-88.24,PAG,PAYCASH,281793
182428,N,130768,2024-06-14,2024-06-14,-5988.71,-783.87,-125.42,PAG,PAYCASH,281795
187107,N,148087,2024-06-14,2024-06-14,-8525.26,-2042.88,-326.86,PAG,PAYCASH,281801
185806,N,99908,2024-06-14,2024-06-15,-5877.1,-1298.2,-207.71,PAG,OXXO,281922
183697,N,159946,2024-06-14,2024-06-15,-3496.35,-618.66,-98.99,PAG,BANCOMER,281903
181444,N,181500,2024-06-15,2024-06-15,-4641.55,-775.39,-124.06,PAG,PAYCASH,282033
183881,N,123319,2024-06-15,2024-06-15,-4344.0,-10.35,-1.66,PAG,PAYCASH,282048
185904,N,155452,2024-06-16,2024-06-16,-8325.12,-1857.66,-297.22,PAG,PAYCASH,282052
184243,N,116809,2024-06-17,2024-06-17,-836.16,-429.17,-68.67,PAG,PAYCASH,282418
190783,N,176988,2024-06-18,2024-06-19,-1213.29,-678.2,-108.51,PAG,OXXO,282807
186093,N,183876,2024-06-19,2024-06-20,0.0,0.0,0.0,PAG,BANCOMER,283026
186093,N,183876,2024-06-19,2024-06-20,-1705.52,-475.41,-76.07,PAG,BANCOMER,283025
180777,N,100087,2024-06-19,2024-06-19,-10799.12,-388.69,-62.19,PAG,PAYCASH,282908
180324,N,153704,2024-06-19,2024-06-20,-10000.0,0.0,0.0,PAG,OXXO,283094
180324,N,153704,2024-06-19,2024-06-20,-896.62,0.0,0.0,PAG,OXXO,283095
184066,N,143200,2024-06-19,2024-06-20,-6322.32,-338.52,-54.16,PAG,OXXO,283089
186498,N,104629,2024-06-20,2024-06-21,-2711.24,-1977.38,-316.38,PAG,BANCOMER,283302
179894,N,151245,2024-06-20,2024-06-21,-2312.87,-127.7,-20.43,PAG,BANCOMER,283311
180296,N,118808,2024-06-20,2024-06-21,-8284.36,-533.31,-85.33,PAG,PAYCASH,283214
186093,N,183876,2024-06-20,2024-06-21,0.0,0.0,0.0,PAG,BANCOMER,283303
