grupo_riesgo,tasa_promedio_real,tasa_promedio_modelo,monto_promedio_real,monto_promedio_modelo,rentabilidad_real,rentabilidad_modelo,fico_score_promedio,contribucion_marginal,contribucion_marginal_modelo
1,140.12545489744406,127.926391,21304.98929126984,32466.666666666668,0.26433675762255804,0.7301904365637575,501.92857142857144,90512.88143479852,236660.1462259888
2,139.80002556143137,122.0,27738.66332706767,26736.842105263157,0.25563611983825746,0.619387462859586,518.8461538461538,68097.20598351647,160209.94287978212
3,134.7946221857513,127.00000000000001,21425.75972777778,24733.333333333332,0.12089826841558958,0.5977610044396642,504.9375,44103.014914652005,279297.49572883773
4,134.4032695179613,147.0,24236.568681259603,8193.548387096775,0.2836850619371442,0.4154238850533255,479.53846153846155,109512.63238571429,146607.59680608904
5,141.8387068705693,142.015396,23913.55261904762,38857.142857142855,-0.19409394445937161,0.46942486455562266,514.2222222222222,-19305.97342857143,75690.68464249316
6,129.13641362470062,147.0,25343.96844239631,17419.354838709678,0.21814370755798365,0.44812891022502926,497.8888888888889,71481.35845128205,194988.27788387096
7,137.51084637340222,137.0,21642.54586904762,28875.0,-0.057217840459038265,0.5969628383458564,504.75,-6651.5413391941365,134360.65658072036
8,135.85338149054658,139.893394,21082.339466898953,21082.339467,0.29561418933657324,0.4537729,472.2307692307692,106601.35004468868,138360.656581
9,137.11677370498762,141.983633,22510.86239372822,22510.862394,0.24547911528721267,0.5194925,478.92857142857144,92123.23300439562,124190.017817
10,108.49621518485702,143.925394,25495.76228815629,25495.762288,0.09199411788694964,0.5602573,494.4761904761905,30292.699841758244,169221.025501
