inferior,superior,1,2,3,4,5,6,7,8,9,10
0.0,1.0,0.6333333333333333,0.6842105263157895,0.6,0.6129032258064516,0.2857142857142857,0.4838709677419355,0.375,0.3902439024390244,0.4146341463414634,0.358974358974359
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.07317073170731707,0.02564102564102564
7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,9.0,0.0,0.05263157894736842,0.03333333333333333,0.06451612903225806,0.0,0.06451612903225806,0.0625,0.0,0.0,0.0
9.0,10.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0
10.0,15.0,0.06666666666666667,0.05263157894736842,0.03333333333333333,0.0,0.0,0.03225806451612903,0.0625,0.0,0.0,0.02564102564102564
15.0,20.0,0.0,0.0,0.0,0.03225806451612903,0.21428571428571427,0.0,0.0,0.07317073170731707,0.024390243902439025,0.02564102564102564
20.0,25.0,0.06666666666666667,0.0,0.0,0.06451612903225806,0.14285714285714285,0.06451612903225806,0.0,0.17073170731707318,0.17073170731707318,0.1794871794871795
25.0,30.0,0.03333333333333333,0.05263157894736842,0.03333333333333333,0.06451612903225806,0.14285714285714285,0.06451612903225806,0.125,0.04878048780487805,0.07317073170731707,0.10256410256410256
30.0,35.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.04878048780487805,0.024390243902439025,0.0
35.0,40.0,0.03333333333333333,0.05263157894736842,0.06666666666666667,0.0,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.10256410256410256
40.0,45.0,0.03333333333333333,0.10526315789473684,0.06666666666666667,0.03225806451612903,0.0,0.06451612903225806,0.0,0.0,0.0,0.02564102564102564
45.0,50.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
50.0,inf,0.0,0.0,0.1,0.06451612903225806,0.21428571428571427,0.1935483870967742,0.3125,0.21951219512195122,0.1951219512195122,0.15384615384615385
