id_distribuidor,id_red,perdida_cosecha,cosecha_estimada
156030,156465,0.20668444679112752,0.01
156047,156655,0.08589659352345747,0.0765
156048,156655,0.08589659352345747,0.019799999999999998
156049,156655,0.08589659352345747,0.0611
156050,156655,0.08589659352345747,0.0406
156053,156420,0.0,0.01
156072,158346,0.5286031743682533,0.0406
156076,156120,0.0,0.0406
156091,156585,0.0,0.019799999999999998
156092,156585,0.0,0.01
156114,156579,0.6979300117556348,0.019799999999999998
156147,156465,0.20668444679112752,0.0611
156149,156655,0.08589659352345747,0.0406
156152,156655,0.08589659352345747,0.0406
156156,156655,0.08589659352345747,0.019799999999999998
156160,157048,0.0,0.0406
156161,157048,0.0,0.01
156202,156465,0.20668444679112752,0.019799999999999998
156205,156523,0.2355862155261229,0.019799999999999998
156207,156523,0.2355862155261229,0.01
156260,152722,0.038543616672579106,0.0611
156284,157892,0.0,0.01
156285,157892,0.0,0.019799999999999998
156313,156766,0.0,0.019799999999999998
156332,157077,0.2873761414416165,0.019799999999999998
156357,156640,0.0,0.019799999999999998
156366,156548,0.0,0.019799999999999998
156442,157077,0.2873761414416165,0.01
156456,158058,0.650856009782969,0.019799999999999998
156458,156548,0.0,0.019799999999999998
156462,158058,0.650856009782969,0.019799999999999998
156621,156896,0.20406988248777203,0.019799999999999998
156623,156896,0.20406988248777203,0.019799999999999998
156737,158749,0.5011677276311729,0.0406
156745,158749,0.5011677276311729,0.019799999999999998
156764,156896,0.20406988248777203,0.019799999999999998
156833,157033,0.0,0.0611
156848,156896,0.20406988248777203,0.0406
156881,156896,0.20406988248777203,0.01
156884,157066,0.0,0.0611
157110,157892,0.0,0.019799999999999998
157169,157628,0.0,0.11800000000000001
157176,158058,0.650856009782969,0.01
157188,157628,0.0,0.0406
157198,157628,0.0,0.0611
157205,157739,0.3573637923591959,0.019799999999999998
157270,158749,0.5011677276311729,0.01
157311,157616,0.8694354352152159,0.019799999999999998
157312,157616,0.19110193943671916,0.0611
157313,157616,0.19110193943671916,0.0406
157362,158096,0.0,0.0406
157363,158096,0.0,0.01
157375,157739,0.3573637923591959,0.019799999999999998
157382,157739,0.3573637923591959,0.019799999999999998
157383,158544,0.0,0.019799999999999998
157440,157462,0.0,0.0406
157510,157544,0.329006133584572,0.019799999999999998
157520,157668,0.0,0.0406
157523,158058,0.650856009782969,0.01
157524,157865,0.7924731575944055,0.01
157530,158718,0.0,0.0611
157591,157729,0.5164480404811058,0.0611
157598,158257,0.0,0.11800000000000001
157608,158257,0.0,0.0765
157609,158096,0.0,0.0611
157611,158096,0.0,0.0406
157612,158096,0.0,0.01
157613,158096,0.0,0.01
157673,157739,0.3573637923591959,0.019799999999999998
157706,158394,0.0,0.01
157718,157892,0.0,0.01
157719,158257,0.0,0.11800000000000001
157745,157806,0.0,0.0611
157915,157857,0.0,0.0406
157993,158332,0.5612924787861004,0.0406
157995,158332,0.5612924787861004,0.01
157996,158332,0.5612924787861004,0.01
157997,158332,0.5612924787861004,0.01
157998,158332,0.5612924787861004,0.01
158022,158257,0.0,0.0765
158050,158338,0.0,0.0611
158090,158615,0.0,0.01
158128,158257,0.0,0.019799999999999998
158165,158346,0.5286031743682533,0.0406
158166,158346,0.5286031743682533,0.01
158169,158346,0.5286031743682533,0.019799999999999998
158227,158346,0.5286031743682533,0.019799999999999998
158228,158346,0.5286031743682533,0.01
158265,158657,0.0,0.0406
158292,158615,0.0,0.019799999999999998
158354,158632,0.0,0.0611
158356,158632,0.0,0.019799999999999998
158579,158632,0.0,0.019799999999999998
158625,158615,0.0,0.01
