label,approval_score,applicant_id,sucursal,flag_sucursal_riesgo,grupo_riesgo_final,tasa_perdida,inf_obs
4,0.5313491671,152069,GRUPO_2,SI,4,13.97,N/A
6,0.3754028057,152960,GRUPO_2,SI,6,23.86,N/A
6,0.4080099852,153000,GRUPO_2,SI,6,23.86,N/A
6,0.3806356897,153001,GRUPO_2,SI,6,23.86,N/A
3,0.6421075899,153018,GRUPO_2,SI,3,8.34,N/A
4,0.5569090422,159607,GRUPO_2,SI,4,13.97,N/A
5,0.4694094316,158627,GRUPO_2,SI,5,14.2,N/A
5,0.4415187756,159328,GRUPO_2,SI,5,14.2,N/A
5,0.4415187756,159332,GRUPO_2,SI,5,14.2,N/A
3,0.6806961014,159373,GRUPO_2,SI,3,8.34,N/A
3,0.6352937291,154946,GRUPO_4,SI,3,8.34,N/A
6,0.3837545987,155615,GRUPO_4,SI,6,23.86,N/A
6,0.3724924869,155767,GRUPO_2,SI,6,23.86,N/A
4,0.5839211789,155779,GRUPO_2,SI,4,13.97,N/A
4,0.5165671059,155780,GRUPO_2,SI,4,13.97,N/A
6,0.382776849,155781,GRUPO_2,SI,6,23.86,N/A
3,0.6967706128,155783,GRUPO_2,SI,3,8.34,N/A
6,0.3724924869,156091,GRUPO_2,SI,6,23.86,N/A
5,0.4910895672,156092,GRUPO_2,SI,5,14.2,N/A
3,0.6211293761,156114,GRUPO_4,SI,3,8.34,N/A
1,0.732587854,158209,GRUPO_5,NO,1,3.44,N/A
4,0.5398279703,158367,GRUPO_4,SI,4,13.97,N/A
4,0.5180696241,158578,GRUPO_4,SI,4,13.97,N/A
6,0.3624726315,152566,GRUPO_2,SI,6,23.86,N/A
6,0.3246237359,154377,GRUPO_2,SI,6,23.86,N/A
5,0.4409922934,158625,GRUPO_2,SI,5,14.2,N/A
5,0.47390734,158666,GRUPO_2,SI,5,14.2,N/A
4,0.5937987685,158696,GRUPO_4,SI,4,13.97,N/A
4,0.5313491671,154794,GRUPO_2,SI,4,13.97,N/A
3,0.6258201129,154795,GRUPO_2,SI,3,8.34,N/A
1,0.7084528386,155073,GRUPO_1,NO,1,3.44,N/A
6,0.3925774562,155116,GRUPO_2,SI,6,23.86,N/A
6,0.3344005524,151755,GRUPO_4,SI,6,23.86,N/A
6,0.3152498221,152636,GRUPO_4,SI,6,23.86,N/A
6,0.3849000291,152384,GRUPO_2,SI,6,23.86,N/A
5,0.4886435259,152385,GRUPO_2,SI,5,14.2,N/A
6,0.3518207306,152474,GRUPO_2,SI,6,23.86,N/A
3,0.6636190013,152536,GRUPO_2,SI,3,8.34,N/A
3,0.6584600118,154888,GRUPO_2,SI,3,8.34,N/A
2,0.7248794139,154976,GRUPO_2,SI,2,6.32,N/A
5,0.4324553133,160382,GRUPO_4,SI,5,14.2,N/A
6,0.3724924869,154879,GRUPO_2,SI,6,23.86,N/A
5,0.417799659,155408,GRUPO_5,NO,5,14.2,N/A
3,0.645164838,159497,GRUPO_4,SI,3,8.34,N/A
6,0.3724924869,153065,GRUPO_2,SI,6,23.86,N/A
6,0.3518207306,153306,GRUPO_2,SI,6,23.86,N/A
6,0.3869532394,154320,GRUPO_4,SI,6,23.86,N/A
5,0.4821315922,154328,GRUPO_4,SI,5,14.2,N/A
6,0.3744223043,154335,GRUPO_4,SI,6,23.86,N/A
4,0.539976793,154806,GRUPO_2,SI,4,13.97,N/A
4,0.5010009323,154810,GRUPO_2,SI,4,13.97,N/A
4,0.4390686376,154811,GRUPO_5,NO,4,13.97,N/A
5,0.4442430712,154835,GRUPO_4,SI,5,14.2,N/A
3,0.6376791893,154924,GRUPO_4,SI,3,8.34,N/A
5,0.4876905752,154926,GRUPO_4,SI,5,14.2,N/A
6,0.3611802866,152210,GRUPO_4,SI,6,23.86,N/A
5,0.4827367999,152212,GRUPO_4,SI,5,14.2,N/A
3,0.6414237983,145969,GRUPO_2,SI,3,8.34,N/A
3,0.6517712781,155265,GRUPO_2,SI,3,8.34,N/A
