Contrato,Anexo,Número de documento,Fecha Vencimiento,Monto Capital,Monto intérés,Monto IVA,Tipo de Movimiento
189390,N,189390_1,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_2,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_3,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_4,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_5,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_6,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_7,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_8,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_9,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_10,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_11,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_12,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_13,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_14,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_15,2024-09-20,3250.003125,785.3275,125.669375,FAC
189390,N,189390_16,2024-09-20,3250.003125,785.3275,125.669375,FAC
189749,N,189749_1,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_2,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_3,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_4,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_5,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_6,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_7,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_8,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_9,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_10,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_11,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_12,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_13,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_14,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_15,2024-09-20,5937.49625,898.704375,143.799375,FAC
189749,N,189749_16,2024-09-20,5937.49625,898.704375,143.799375,FAC
190149,N,190149_1,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_2,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_3,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_4,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_5,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_6,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_7,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_8,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_9,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_10,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_11,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_12,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_13,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_14,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_15,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190149,N,190149_16,2024-09-20,6124.99875,1115.506875,178.494375,FAC
190401,N,190401_1,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_2,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_3,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_4,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_5,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_6,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_7,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_8,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_9,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_10,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_11,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_12,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_13,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_14,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_15,2024-09-20,2249.980625,530.190625,84.82875,FAC
190401,N,190401_16,2024-09-20,2249.980625,530.190625,84.82875,FAC
190481,N,190481_1,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_2,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_3,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_4,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_5,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_6,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_7,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_8,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_9,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_10,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_11,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_12,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_13,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_14,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_15,2024-09-20,3999.998125,830.168125,132.83375,FAC
190481,N,190481_16,2024-09-20,3999.998125,830.168125,132.83375,FAC
190821,N,190821_1,2024-09-20,788.724375,168.34625,26.929375,FAC
190821,N,190821_2,2024-09-20,788.724375,168.34625,26.929375,FAC
190821,N,190821_3,2024-09-20,788.724375,168.34625,26.929375,FAC
190821,N,190821_4,2024-09-20,788.724375,168.34625,26.929375,FAC
190821,N,190821_5,2024-09-20,788.724375,168.34625,26.929375,FAC
190821,N,190821_6,2024-09-20,788.724375,168.34625,26.929375,FAC
190821,N,190821_7,2024-09-20,788.724375,168.34625,26.929375,FAC
